filter_num	units	auroc_on_CV	mean_auroc_on_CV
16	64	[0.64568084, 0.6383602, 0.6568915, 0.6304985, 0.6495601]	0.6441982388496399
16	128	[0.6325037, 0.6193265, 0.6803519, 0.6143695, 0.6304985]	0.6354100108146667
16	256	[0.6339678, 0.64128846, 0.6656892, 0.62903225, 0.627566]	0.6395087242126465
16	512	[0.62957543, 0.64568084, 0.64662755, 0.6143695, 0.6217009]	0.6315908432006836
16	1024	[0.61346996, 0.6163982, 0.65249264, 0.62903225, 0.61290324]	0.6248592138290405
32	64	[0.6544656, 0.63103956, 0.6627566, 0.6480938, 0.6451613]	0.6483033299446106
32	128	[0.6207906, 0.62518305, 0.6568915, 0.6539589, 0.6392962]	0.6392240524291992
32	256	[0.63543195, 0.64568084, 0.6686217, 0.62903225, 0.643695]	0.6444923281669617
32	512	[0.6339678, 0.658858, 0.6759531, 0.62903225, 0.643695]	0.6483012437820435
32	1024	[0.6105417, 0.6368961, 0.6598241, 0.6378299, 0.6202346]	0.6330652236938477
64	64	[0.6325037, 0.6383602, 0.65102637, 0.64076245, 0.65102637]	0.6427357792854309
64	128	[0.6442167, 0.6222547, 0.66129035, 0.63489735, 0.6392962]	0.6403910517692566
64	256	[0.61786234, 0.63103956, 0.65102637, 0.6451613, 0.6363636]	0.6362906694412231
64	512	[0.6207906, 0.62957543, 0.65102637, 0.64076245, 0.6422287]	0.6368767023086548
64	1024	[0.61786234, 0.65153736, 0.643695, 0.643695, 0.61730206]	0.6348183751106262
128	64	[0.6325037, 0.6339678, 0.6568915, 0.6319648, 0.6422287]	0.6395112872123718
128	128	[0.62957543, 0.6222547, 0.6480938, 0.6451613, 0.6378299]	0.6365830302238464
128	256	[0.6207906, 0.62957543, 0.6495601, 0.643695, 0.5058651]	0.609897255897522
128	512	[0.62518305, 0.62371886, 0.65249264, 0.6260997, 0.6392962]	0.6333581209182739
128	1024	[0.6149341, 0.5783309, 0.6319648, 0.62903225, 0.627566]	0.6163656115531921
256	64	[0.6339678, 0.51098096, 0.5483871, 0.5073314, 0.5058651]	0.5413064360618591
256	128	[0.62957543, 0.51098096, 0.5483871, 0.6217009, 0.5058651]	0.5633018612861633
256	256	[0.6368961, 0.51098096, 0.5483871, 0.5073314, 0.64076245]	0.5688716173171997
256	512	[0.5578331, 0.57686675, 0.5483871, 0.5073314, 0.5058651]	0.5392566919326782
256	1024	[0.6266472, 0.51098096, 0.5483871, 0.5073314, 0.5058651]	0.5398423075675964
