filter_num	units	auroc_on_CV	mean_auroc_on_CV
8	64	[0.6266472, 0.6368961, 0.6554252, 0.6363636, 0.6217009]	0.6354066133499146
8	128	[0.6442167, 0.6368961, 0.6744868, 0.643695, 0.6378299]	0.6474248766899109
8	256	[0.6383602, 0.64128846, 0.6686217, 0.6217009, 0.6260997]	0.6392141580581665
8	512	[0.6061493, 0.63103956, 0.6363636, 0.627566, 0.63489735]	0.6272031664848328
8	1024	[0.61346996, 0.6383602, 0.6480938, 0.6260997, 0.627566]	0.630717933177948
16	64	[0.6339678, 0.6207906, 0.68475074, 0.6378299, 0.62903225]	0.6412742733955383
16	128	[0.62371886, 0.64568084, 0.65249264, 0.6422287, 0.6158358]	0.6359913945198059
16	256	[0.6207906, 0.62957543, 0.6319648, 0.6260997, 0.64662755]	0.6310116052627563
16	512	[0.6207906, 0.6281113, 0.64662755, 0.6099707, 0.6363636]	0.6283727884292603
16	1024	[0.6281113, 0.6427526, 0.6656892, 0.6158358, 0.6319648]	0.6368706822395325
32	64	[0.6281113, 0.64568084, 0.6598241, 0.62903225, 0.6422287]	0.6409753561019897
32	128	[0.63543195, 0.63982433, 0.65102637, 0.64076245, 0.6304985]	0.6395087242126465
32	256	[0.62371886, 0.6222547, 0.6495601, 0.6363636, 0.6363636]	0.6336522102355957
32	512	[0.61200583, 0.62371886, 0.64076245, 0.6378299, 0.62316716]	0.6274968385696411
32	1024	[0.6339678, 0.64128846, 0.6627566, 0.60703814, 0.6392962]	0.6368694305419922
64	64	[0.6442167, 0.6266472, 0.6583578, 0.643695, 0.63489735]	0.6415627598762512
64	128	[0.6442167, 0.647145, 0.6744868, 0.6451613, 0.66129035]	0.6544600129127502
64	256	[0.6383602, 0.63982433, 0.6818182, 0.6422287, 0.6363636]	0.6477190256118774
64	512	[0.6266472, 0.6266472, 0.67155427, 0.6099707, 0.6334311]	0.633650004863739
64	1024	[0.6222547, 0.6368961, 0.63489735, 0.61876833, 0.6334311]	0.6292494535446167
128	64	[0.6442167, 0.58272326, 0.65249264, 0.64076245, 0.6451613]	0.63307124376297
128	128	[0.6281113, 0.6163982, 0.65102637, 0.62463343, 0.6363636]	0.631306529045105
128	256	[0.63982433, 0.6281113, 0.66715544, 0.61730206, 0.5058651]	0.611651599407196
128	512	[0.6442167, 0.51098096, 0.65249264, 0.6363636, 0.6334311]	0.6154969930648804
128	1024	[0.6383602, 0.51098096, 0.6378299, 0.6085044, 0.64662755]	0.6084606051445007
