filter_num	h_units	auroc_on_CV	mean_auroc_on_CV
16	16	[0.65153736, 0.61786234, 0.6378299, 0.6217009, 0.6583578]	0.6374576687812805
16	32	[0.65153736, 0.60322106, 0.6334311, 0.6392962, 0.6568915]	0.6368754506111145
16	64	[0.64128846, 0.6090776, 0.6363636, 0.627566, 0.6422287]	0.6313048601150513
16	128	[0.6266472, 0.6105417, 0.643695, 0.627566, 0.6378299]	0.6292559504508972
16	256	[0.6368961, 0.6149341, 0.627566, 0.6304985, 0.6495601]	0.6318909525871277
32	16	[0.62371886, 0.60761344, 0.6334311, 0.63489735, 0.6495601]	0.6298441886901855
32	32	[0.63982433, 0.6207906, 0.63489735, 0.6334311, 0.6363636]	0.633061408996582
32	64	[0.63103956, 0.6061493, 0.6422287, 0.63489735, 0.63489735]	0.6298424601554871
32	128	[0.63103956, 0.6149341, 0.62463343, 0.62463343, 0.6422287]	0.6274938583374023
32	256	[0.62957543, 0.6266472, 0.6363636, 0.61730206, 0.6480938]	0.6315963864326477
64	16	[0.6281113, 0.6105417, 0.6319648, 0.62903225, 0.6480938]	0.6295487284660339
64	32	[0.62371886, 0.6207906, 0.63489735, 0.61876833, 0.6451613]	0.6286672353744507
64	64	[0.62518305, 0.61346996, 0.6392962, 0.63489735, 0.627566]	0.6280824542045593
64	128	[0.62957543, 0.60175693, 0.6304985, 0.6319648, 0.6495601]	0.6286711692810059
64	256	[0.6281113, 0.59297216, 0.6392962, 0.6158358, 0.6319648]	0.6216360330581665
128	16	[0.62957543, 0.60322106, 0.627566, 0.62903225, 0.64076245]	0.6260313987731934
128	32	[0.6222547, 0.6105417, 0.6495601, 0.6319648, 0.6422287]	0.631309986114502
128	64	[0.6266472, 0.6061493, 0.64076245, 0.627566, 0.6480938]	0.6298437118530273
128	128	[0.6266472, 0.6163982, 0.6378299, 0.6319648, 0.6363636]	0.6298407316207886
128	256	[0.6339678, 0.60322106, 0.627566, 0.6260997, 0.627566]	0.6236841082572937
256	16	[0.63103956, 0.6046852, 0.6319648, 0.643695, 0.643695]	0.6310158967971802
256	32	[0.63982433, 0.6222547, 0.63489735, 0.6363636, 0.6378299]	0.6342339515686035
256	64	[0.6383602, 0.61786234, 0.6304985, 0.62316716, 0.65102637]	0.6321828961372375
256	128	[0.6281113, 0.6207906, 0.6378299, 0.6334311, 0.64076245]	0.6321851015090942
256	256	[0.6573939, 0.6163982, 0.6422287, 0.6304985, 0.6378299]	0.6368697881698608
