hidden_units	units	auroc_on_CV	mean_auroc_on_CV
4	64	[0.5988287, 0.6090776, 0.62903225, 0.61290324, 0.60117304]	0.610202968120575
4	128	[0.60761344, 0.6002928, 0.61876833, 0.61143696, 0.60703814]	0.6090299487113953
4	256	[0.6163982, 0.5944363, 0.6495601, 0.60557187, 0.6099707]	0.6151874661445618
4	512	[0.6207906, 0.59736454, 0.6202346, 0.6099707, 0.61290324]	0.6122527122497559
4	1024	[0.6046852, 0.60322106, 0.6319648, 0.5982405, 0.65249264]	0.6181208491325378
8	64	[0.60761344, 0.5988287, 0.6099707, 0.6085044, 0.6217009]	0.6093236207962036
8	128	[0.6149341, 0.6207906, 0.61143696, 0.6202346, 0.61730206]	0.6169396638870239
8	256	[0.60175693, 0.60322106, 0.62903225, 0.60117304, 0.6304985]	0.6131364107131958
8	512	[0.6163982, 0.6149341, 0.6319648, 0.61143696, 0.61290324]	0.6175274848937988
8	1024	[0.62518305, 0.6090776, 0.6392962, 0.6085044, 0.627566]	0.6219254732131958
16	64	[0.6222547, 0.61200583, 0.6260997, 0.62316716, 0.6260997]	0.6219254732131958
16	128	[0.6207906, 0.5988287, 0.6217009, 0.61143696, 0.6158358]	0.6137186288833618
16	256	[0.6427526, 0.5944363, 0.6319648, 0.61730206, 0.63489735]	0.6242706179618835
16	512	[0.61786234, 0.6002928, 0.6217009, 0.61143696, 0.62316716]	0.6148920059204102
16	1024	[0.62371886, 0.60175693, 0.63489735, 0.6099707, 0.627566]	0.6195819973945618
32	64	[0.6266472, 0.6061493, 0.6217009, 0.6202346, 0.6143695]	0.6178202629089355
32	128	[0.6193265, 0.6090776, 0.62463343, 0.6202346, 0.6304985]	0.6207541227340698
32	256	[0.6193265, 0.5944363, 0.6217009, 0.6260997, 0.61730206]	0.61577308177948
32	512	[0.6281113, 0.6046852, 0.61876833, 0.6202346, 0.627566]	0.619873046875
32	1024	[0.6325037, 0.5959004, 0.62316716, 0.61290324, 0.6319648]	0.6192878484725952
64	64	[0.63543195, 0.6105417, 0.62463343, 0.6319648, 0.62463343]	0.6254410743713379
64	128	[0.6207906, 0.60761344, 0.61876833, 0.6260997, 0.61290324]	0.6172350645065308
64	256	[0.61786234, 0.6002928, 0.62463343, 0.6202346, 0.62903225]	0.6184110641479492
64	512	[0.6266472, 0.6002928, 0.6202346, 0.6217009, 0.62463343]	0.6187017560005188
64	1024	[0.6266472, 0.59297216, 0.62316716, 0.61143696, 0.62903225]	0.616651177406311
