filter_num	units	auroc_on_CV	mean_auroc_on_CV
8	64	[0.66452307, 0.66130763, 0.666309, 0.6877682, 0.65450644]	0.6668828725814819
8	128	[0.6666667, 0.66130763, 0.64806867, 0.6888412, 0.66201717]	0.6653802394866943
8	256	[0.66345125, 0.66452307, 0.65450644, 0.69635195, 0.6523605]	0.6662386655807495
8	512	[0.6688103, 0.6655949, 0.6555794, 0.6748927, 0.66523606]	0.6660226583480835
8	1024	[0.6559486, 0.65380496, 0.64806867, 0.65450644, 0.6309013]	0.6486459970474243
16	64	[0.659164, 0.6666667, 0.6587983, 0.67596567, 0.6630901]	0.6647369265556335
16	128	[0.6666667, 0.659164, 0.6555794, 0.6555794, 0.6738197]	0.6621618270874023
16	256	[0.6688103, 0.6602358, 0.6491416, 0.68454933, 0.66523606]	0.6655946373939514
16	512	[0.6698821, 0.6795284, 0.64377683, 0.67596567, 0.67596567]	0.6690238118171692
16	1024	[0.6559486, 0.6698821, 0.6609442, 0.6770386, 0.6555794]	0.6638785600662231
32	64	[0.69453377, 0.67309755, 0.66845495, 0.6909871, 0.65665233]	0.6767451167106628
32	128	[0.6666667, 0.6773848, 0.6491416, 0.68454933, 0.6641631]	0.6683810949325562
32	256	[0.67202574, 0.6666667, 0.65128756, 0.6920601, 0.6598712]	0.6683822870254517
32	512	[0.67309755, 0.6698821, 0.6362661, 0.67060083, 0.6770386]	0.6653770208358765
32	1024	[0.67309755, 0.66130763, 0.64806867, 0.67596567, 0.6555794]	0.6628037691116333
64	64	[0.6891747, 0.67416936, 0.66523606, 0.6866953, 0.6609442]	0.6752439737319946
64	128	[0.6795284, 0.6688103, 0.65665233, 0.6781116, 0.6695279]	0.6705261468887329
64	256	[0.6773848, 0.67416936, 0.65665233, 0.67167383, 0.6555794]	0.6670919060707092
64	512	[0.69346195, 0.6666667, 0.65450644, 0.667382, 0.6587983]	0.6681630611419678
64	1024	[0.6891747, 0.67309755, 0.6491416, 0.6877682, 0.6598712]	0.6718106269836426
128	64	[0.5648446, 0.68274385, 0.6598712, 0.6255365, 0.5611588]	0.6188309788703918
128	128	[0.6881029, 0.58949625, 0.56866956, 0.6920601, 0.5611588]	0.6198974847793579
128	256	[0.66345125, 0.57020366, 0.6040773, 0.6491416, 0.6587983]	0.6291344165802002
128	512	[0.5648446, 0.6655949, 0.64806867, 0.65450644, 0.5611588]	0.6188346743583679
128	1024	[0.5648446, 0.57020366, 0.56866956, 0.68991417, 0.5611588]	0.5909581184387207
