filter_num	h_units	auroc_on_CV	mean_auroc_on_CV
16	16	[0.5959271, 0.5659164, 0.6255365, 0.5912017, 0.60193133]	0.5961025953292847
16	32	[0.58842444, 0.5669882, 0.62339056, 0.582618, 0.59871244]	0.5920267105102539
16	64	[0.5927117, 0.5659164, 0.6287554, 0.5912017, 0.60193133]	0.596103310585022
16	128	[0.5862808, 0.56913185, 0.6255365, 0.58154505, 0.6148069]	0.5954602360725403
16	256	[0.5862808, 0.5648446, 0.61587983, 0.57832617, 0.5997854]	0.5890233516693115
32	16	[0.5948553, 0.5648446, 0.611588, 0.583691, 0.60944206]	0.5928841829299927
32	32	[0.59056807, 0.5659164, 0.6244635, 0.5869099, 0.60193133]	0.5939578413963318
32	64	[0.5830654, 0.5637728, 0.62982833, 0.57832617, 0.60622317]	0.5922431349754333
32	128	[0.58735263, 0.5659164, 0.6255365, 0.5858369, 0.60193133]	0.5933147668838501
32	256	[0.58842444, 0.5637728, 0.6169528, 0.5772532, 0.62017167]	0.5933149456977844
64	16	[0.5927117, 0.5659164, 0.62660944, 0.5890558, 0.60193133]	0.5952449440956116
64	32	[0.58842444, 0.5616292, 0.6180258, 0.58476394, 0.60193133]	0.5909548997879028
64	64	[0.5916399, 0.5616292, 0.6255365, 0.58798283, 0.6148069]	0.5963190793991089
64	128	[0.58842444, 0.5616292, 0.6212446, 0.57403433, 0.610515]	0.591169536113739
64	256	[0.5948553, 0.56055737, 0.610515, 0.5869099, 0.6040773]	0.5913829803466797
128	16	[0.58735263, 0.5669882, 0.6190987, 0.5901288, 0.61266094]	0.5952458381652832
128	32	[0.5959271, 0.5659164, 0.6190987, 0.5858369, 0.5997854]	0.5933128595352173
128	64	[0.58949625, 0.562701, 0.6276824, 0.57832617, 0.6030043]	0.5922420024871826
128	128	[0.585209, 0.5637728, 0.6190987, 0.5890558, 0.6008584]	0.5915989279747009
128	256	[0.5862808, 0.56806004, 0.610515, 0.57939917, 0.5944206]	0.587735116481781
256	16	[0.5916399, 0.5648446, 0.610515, 0.5858369, 0.6040773]	0.5913827419281006
256	32	[0.5916399, 0.5637728, 0.6276824, 0.5858369, 0.6051502]	0.5948164463043213
256	64	[0.5927117, 0.5616292, 0.61266094, 0.5869099, 0.60193133]	0.5911686420440674
256	128	[0.5862808, 0.5637728, 0.6212446, 0.583691, 0.60193133]	0.5913840532302856
256	256	[0.5830654, 0.562701, 0.611588, 0.57403433, 0.5965665]	0.5855910181999207
