hidden_units	units	auroc_on_CV	mean_auroc_on_CV
4	64	[0.5734191, 0.5423365, 0.6083691, 0.5901288, 0.6051502]	0.5838807225227356
4	128	[0.56913185, 0.54448014, 0.61587983, 0.5912017, 0.6072961]	0.5855978727340698
4	256	[0.57770634, 0.5476956, 0.6072961, 0.5890558, 0.60622317]	0.585595428943634
4	512	[0.57877815, 0.5412647, 0.6148069, 0.5912017, 0.59871244]	0.5849527716636658
4	1024	[0.5734191, 0.5487674, 0.611588, 0.5869099, 0.6040773]	0.5849523544311523
8	64	[0.5819936, 0.54662377, 0.60944206, 0.5890558, 0.60622317]	0.5866676568984985
8	128	[0.57770634, 0.5498392, 0.610515, 0.5901288, 0.60193133]	0.5860241651535034
8	256	[0.5723473, 0.54340833, 0.61266094, 0.5890558, 0.6051502]	0.5845245122909546
8	512	[0.5766345, 0.5412647, 0.6180258, 0.5912017, 0.60193133]	0.5858116149902344
8	1024	[0.5712755, 0.55734193, 0.62339056, 0.58798283, 0.60622317]	0.5892428159713745
16	64	[0.5723473, 0.5423365, 0.6190987, 0.5912017, 0.6072961]	0.5864561200141907
16	128	[0.58092177, 0.54555196, 0.6137339, 0.5944206, 0.60193133]	0.587311863899231
16	256	[0.57770634, 0.54340833, 0.610515, 0.5890558, 0.59871244]	0.5838795900344849
16	512	[0.5755627, 0.54340833, 0.6051502, 0.58798283, 0.6030043]	0.5830217003822327
16	1024	[0.57877815, 0.5487674, 0.6072961, 0.5858369, 0.5997854]	0.5840927958488464
32	64	[0.5766345, 0.54340833, 0.6083691, 0.5890558, 0.59871244]	0.583236038684845
32	128	[0.5830654, 0.54340833, 0.6223176, 0.5804721, 0.6008584]	0.5860243439674377
32	256	[0.57984996, 0.54340833, 0.6190987, 0.58798283, 0.60193133]	0.5864542722702026
32	512	[0.5734191, 0.54555196, 0.610515, 0.5890558, 0.6040773]	0.5845238566398621
32	1024	[0.57770634, 0.5423365, 0.611588, 0.58798283, 0.60193133]	0.5843089818954468
64	64	[0.57770634, 0.55841374, 0.6040773, 0.5965665, 0.6008584]	0.5875244736671448
64	128	[0.5744909, 0.54662377, 0.60622317, 0.5869099, 0.5997854]	0.5828065872192383
64	256	[0.5723473, 0.5487674, 0.611588, 0.5858369, 0.5997854]	0.5836650133132935
64	512	[0.5744909, 0.5551983, 0.62017167, 0.582618, 0.60622317]	0.587740421295166
64	1024	[0.58092177, 0.5401929, 0.6083691, 0.5869099, 0.60622317]	0.5845233798027039
