Name,Location,Probability
ENST00000305709.5_0,Nucleus,0.057
ENST00000308604.5_0,Cytoplasm,1.0
ENST00000460249.5_0,Cytoplasm,1.0
ENST00000323813.3_0,Cytoplasm,0.56
ENST00000356684.8_0,Cytoplasm,0.926
ENST00000439120.1_0,Nucleus,0.486
ENST00000331944.10_0,Cytoplasm,1.0
ENST00000443631.1_0,Cytoplasm,0.774
ENST00000419003.2_0,Nucleus,0.28
ENST00000419196.1_0,Cytoplasm,0.585
ENST00000418244.5_0,Nucleus,0.285
ENST00000411579.1_0,Nucleus,0.332
ENST00000571138.5_0,Cytoplasm,0.535
ENST00000428207.4_0,Nucleus,0.246
ENST00000455788.1_0,Nucleus,0.342
ENST00000425081.2_0,Cytoplasm,0.502
ENST00000422124.1_0,Cytoplasm,0.87
ENST00000520819.5_0,Cytoplasm,0.536
ENST00000508925.6_0,Nucleus,0.462
ENST00000502284.1_0,Nucleus,0.407
ENST00000518822.1_0,Cytoplasm,0.968
ENST00000530759.1_0,Cytoplasm,0.997
ENST00000527092.5_0,Nucleus,0.092
ENST00000544553.1_0,Nucleus,0.452
ENST00000540093.2_0,Cytoplasm,0.514
ENST00000582787.1_0,Nucleus,0.084
ENST00000577327.1_0,Cytoplasm,0.568
ENST00000592381.1_0,Cytoplasm,1.0
ENST00000608612.1_0,Cytoplasm,0.525
ENST00000315707.3_1,Nucleus,0.207
ENST00000334146.7_1,Cytoplasm,0.651
ENST00000354376.3_1,Nucleus,0.012
ENST00000531894.5_1,Nucleus,0.312
ENST00000360737.4_1,Nucleus,0.003
ENST00000461448.6_1,Cytoplasm,0.522
ENST00000366424.2_1,Nucleus,0.15
ENST00000435542.2_1,Nucleus,0.46
ENST00000381466.2_1,Nucleus,0.237
ENST00000382215.3_1,Nucleus,0.125
ENST00000561824.5_1,Nucleus,0.067
ENST00000555861.1_1,Nucleus,0.284
ENST00000422304.1_1,Nucleus,0.077
ENST00000400282.6_1,Cytoplasm,0.822
ENST00000414175.1_1,Nucleus,0.209
ENST00000432045.6_1,Nucleus,0.395
ENST00000458080.1_1,Cytoplasm,0.742
ENST00000427348.5_1,Nucleus,0.49
ENST00000437157.3_1,Nucleus,0.007
ENST00000415611.7_1,Cytoplasm,0.521
ENST00000442579.1_1,Nucleus,0.345
ENST00000430912.1_1,Nucleus,0.022
ENST00000418855.5_1,Cytoplasm,0.605
ENST00000417284.1_1,Cytoplasm,0.699
ENST00000235290.7_1,Cytoplasm,0.8
ENST00000416999.1_1,Cytoplasm,0.851
ENST00000412643.1_1,Cytoplasm,0.625
ENST00000429214.1_1,Nucleus,0.31
ENST00000422971.1_1,Cytoplasm,0.676
ENST00000453677.1_1,Nucleus,0.377
ENST00000484859.1_1,Nucleus,0.386
ENST00000413987.1_1,Cytoplasm,0.711
ENST00000484076.1_1,Nucleus,0.306
ENST00000499326.1_1,Cytoplasm,0.776
ENST00000499732.3_1,Nucleus,0.05
ENST00000499525.1_1,Nucleus,0.199
ENST00000519655.6_1,Nucleus,0.205
ENST00000508832.2_1,Cytoplasm,0.64
ENST00000520930.1_1,Cytoplasm,0.662
ENST00000526906.1_1,Nucleus,0.22
ENST00000530600.1_1,Cytoplasm,0.563
ENST00000530422.1_1,Nucleus,0.494
ENST00000531395.1_1,Nucleus,0.459
ENST00000535076.5_1,Cytoplasm,0.56
ENST00000540866.2_1,Nucleus,0.048
ENST00000551597.6_1,Nucleus,0.263
ENST00000554988.1_1,Nucleus,0.423
ENST00000560539.5_1,Nucleus,0.239
ENST00000568314.1_1,Cytoplasm,0.799
ENST00000563103.1_1,Cytoplasm,0.799
ENST00000563192.1_1,Cytoplasm,0.735
ENST00000565162.2_1,Nucleus,0.062
ENST00000567527.1_1,Nucleus,0.36
ENST00000561761.2_1,Nucleus,0.182
ENST00000570843.1_1,Cytoplasm,0.594
ENST00000573866.2_1,Cytoplasm,0.726
ENST00000582096.1_1,Nucleus,0.445
ENST00000578800.5_1,Cytoplasm,1.0
ENST00000577698.1_1,Nucleus,0.452
ENST00000592368.1_1,Nucleus,0.382
ENST00000589499.1_1,Nucleus,0.107
ENST00000596206.2_1,Cytoplasm,0.713
ENST00000647575.1_1,Nucleus,0.019
ENST00000602414.5_1,Cytoplasm,0.677
ENST00000602361.1_1,Nucleus,0.34
ENST00000602478.1_1,Cytoplasm,0.682
ENST00000602755.1_1,Nucleus,0.491
ENST00000602385.1_1,Nucleus,0.471
ENST00000604411.1_1,Nucleus,0.088
ENST00000603884.5_1,Cytoplasm,0.786
ENST00000606221.1_1,Nucleus,0.331
ENST00000606277.1_1,Nucleus,0.207
ENST00000553829.1_1,Cytoplasm,0.679
ENST00000609514.1_1,Nucleus,0.281
ENST00000613093.1_1,Nucleus,0.392
ENST00000613868.1_1,Nucleus,0.454
ENST00000618589.1_1,Cytoplasm,0.713
ENST00000621230.1_1,Nucleus,0.003
ENST00000623515.2_1,Nucleus,0.158
ENST00000628622.1_1,Nucleus,0.134
ENST00000629535.2_1,Cytoplasm,0.555
ENST00000626826.1_1,Nucleus,0.057
ENST00000448190.6_1,Nucleus,0.336
ENST00000488557.6_1,Cytoplasm,0.761
ENST00000631401.1_1,Nucleus,0.076
ENST00000634357.1_1,Nucleus,0.012
ENST00000561440.2_1,Nucleus,0.434
