labels 1 2 3 4
2 0.104457 0.695356 0.0237449 0.176442
3 0.0288306 0.0175944 0.898362 0.0552132
2 0.0487278 0.543453 0.381958 0.0258604
3 0.0593726 0.0650984 0.657438 0.218091
2 0.00458001 0.888121 0.082977 0.0243219
2 0.0872896 0.619159 0.206272 0.0872793
3 0.0340931 0.0193988 0.902384 0.0441242
4 0.102608 0.388628 0.095074 0.41369
2 0.0363498 0.761552 0.167263 0.0348349
4 0.0148927 0.017235 0.00272479 0.965147
2 0.246582 0.387012 0.107267 0.259139
4 0.0243139 0.0153256 0.154422 0.805939
4 0.0655606 0.050034 0.213824 0.670581
3 2.62905e-007 4.6292e-007 0.99966 0.00033884
2 0.0322917 0.806038 0.0151194 0.146551
3 2.45201e-007 3.9235e-007 0.999746 0.000253383
1 0.532531 0.203498 0.0764721 0.1875
2 0.0144955 0.979574 0.00107926 0.00485161
1 0.414568 0.33163 0.210674 0.0431272
2 0.0925623 0.811399 0.0189665 0.077072
2 0.288202 0.390946 0.0413317 0.279521
3 0.0498133 0.0979358 0.577177 0.275074
4 0.105026 0.113866 0.220597 0.560511
3 0.0570122 0.0270582 0.910043 0.00588638
3 0.0609152 0.142067 0.766993 0.0300246
4 0.108811 0.138189 0.0200358 0.732964
2 0.247526 0.324378 0.182106 0.24599
1 0.496147 0.0752564 0.203136 0.225461
3 6.82926e-005 0.000444939 0.603052 0.396435
2 0.00383362 0.981586 0.00559896 0.00898178
2 0.0187137 0.951922 0.01938 0.00998461
1 0.642244 0.142599 0.0515995 0.163558
1 0.575589 0.31421 0.0469435 0.0632569
2 0.20537 0.372078 0.266847 0.155704
2 0.113367 0.553908 0.282535 0.0501899
1 0.362885 0.277373 0.309403 0.0503382
2 0.0338888 0.830305 0.129246 0.0065597
2 0.0505862 0.921399 0.013163 0.0148522
2 0.111818 0.625472 0.0518511 0.210859
1 0.42377 0.311843 0.0601742 0.204212
3 0.000275711 0.336919 0.66021 0.00259602
2 0.0787611 0.856319 0.0186549 0.0462652
2 0.236738 0.647005 0.0608297 0.0554267
3 0.00635465 0.350217 0.610524 0.0329046
1 0.586576 0.264842 0.131977 0.0166045
3 0.0380226 0.0542237 0.887841 0.019913
1 0.991031 0.00151882 0.00290761 0.0045425
2 0.0061514 0.972643 0.00646844 0.0147374
2 0.12692 0.5823 0.00880861 0.281971
4 0.0165051 0.200173 0.0152274 0.768095
4 0.05969 0.0137214 0.105513 0.821076
2 0.0441832 0.778576 0.00568468 0.171556
2 0.265744 0.536053 0.105484 0.0927194
4 0.00345904 0.00390043 0.00967455 0.982966
4 0.231886 0.0789291 0.0112003 0.677984
1 0.963145 0.00641266 0.0103825 0.0200594
2 0.0235685 0.52991 0.364265 0.0822565
4 0.0329363 0.236138 0.0161206 0.714805
1 0.503863 0.141554 0.252213 0.10237
2 0.00480439 0.833348 0.157603 0.00424495
2 0.00126744 0.989312 0.00785626 0.0015646
2 0.0378059 0.583881 0.34753 0.0307833
1 0.96068 0.0198245 0.0142264 0.00526898
1 0.784889 0.13862 0.0301153 0.0463757
1 0.846256 0.124238 0.0191888 0.0103165
2 0.00704364 0.98513 0.00213106 0.00569542
2 0.253472 0.727264 0.00455817 0.0147058
3 0.0202509 0.00762624 0.917566 0.0545572
2 0.281729 0.638561 0.00344019 0.0762693
2 0.199777 0.788972 0.00629538 0.00495571
1 0.987502 0.00177742 0.00508202 0.00563868
4 0.298625 0.085238 0.287831 0.328306
4 0.107881 0.0472361 0.0641036 0.780779
2 0.105813 0.687266 0.038464 0.168457
4 0.463181 0.00852498 0.0434556 0.484839
2 0.0410073 0.785685 0.0897907 0.0835175
2 0.0639903 0.648862 0.0150592 0.272089
2 0.149089 0.371959 0.189044 0.289907
2 0.235287 0.610709 0.0124972 0.141507
3 3.66702e-007 5.93433e-007 0.999717 0.000282132
4 0.102256 0.200958 0.188602 0.508184
1 0.877961 0.0865332 0.017621 0.0178852
2 0.392736 0.535939 0.00908208 0.0622427
3 0.0497295 0.00981329 0.854974 0.0854832
3 0.0652454 0.0343929 0.623197 0.277165
2 0.151714 0.843494 0.0031431 0.00164906
1 0.603281 0.127333 0.169325 0.100061
3 0.00014162 0.158389 0.840441 0.00102846
3 0.000537856 0.000118831 0.879597 0.119746
2 0.241055 0.725001 0.0122945 0.0216498
2 0.216633 0.624727 0.0866865 0.0719536
2 0.0898853 0.892004 0.00593248 0.0121779
1 0.971138 0.00510093 0.015547 0.00821419
4 0.199789 0.0992882 0.193444 0.507478
1 0.743313 0.0478576 0.0981289 0.110701
1 0.984057 0.00315182 0.00531817 0.00747339
4 0.177953 0.14853 0.284017 0.389499
2 0.373761 0.594223 0.0190017 0.013014
2 0.0191654 0.868442 0.0630342 0.0493585
1 0.886679 0.0899374 0.0138345 0.00954937
2 0.200205 0.757513 0.0345746 0.00770714
4 0.027006 0.015744 0.244371 0.712879
2 0.0270087 0.732472 0.229238 0.0112813
2 0.0388669 0.846632 0.043384 0.0711173
2 0.119461 0.813112 0.0622147 0.00521239
1 0.617143 0.0714283 0.0115001 0.299928
2 0.0204406 0.73967 0.121797 0.118093
2 0.0800972 0.724972 0.0317817 0.163149
1 0.764915 0.0775564 0.0751998 0.0823288
1 0.711218 0.0788068 0.0362827 0.173693
2 0.24313 0.742753 0.00792601 0.00619143
3 0.0029656 0.124772 0.867499 0.0047641
1 0.930967 0.0323354 0.00694225 0.0297553
2 0.00486318 0.724733 0.00242784 0.267976
1 0.76051 0.0732978 0.0604246 0.105768
4 0.0188176 0.295149 0.0827305 0.603303
