labels 1 2 3 4
3 0.0597308 0.0954219 0.815346 0.0295009
2 9.6341e-09 0.999998 1.90156e-06 2.56291e-07
2 3.27557e-11 0.999999 4.06022e-08 5.04443e-07
1 0.862175 0.110276 0.0270253 0.000523084
2 3.45131e-06 0.997749 0.00224646 1.17169e-06
1 0.946361 0.0439837 0.00405349 0.00560223
2 0.00140264 0.928454 0.0701265 1.67827e-05
2 7.50308e-06 0.998442 0.00153762 1.30989e-05
2 0.264426 0.692959 0.00423586 0.0383791
1 0.704945 0.134594 0.158802 0.00165908
2 0.353685 0.640541 0.00574845 2.57478e-05
1 0.97345 0.0206147 0.00523902 0.000696464
2 0.0273927 0.972188 9.75726e-05 0.000321537
1 0.890945 0.0211383 0.0177323 0.0701839
1 0.971889 0.00488944 0.0112913 0.0119303
4 0.178357 0.00357025 0.0034222 0.81465
2 6.86948e-08 0.999957 1.06882e-05 3.2512e-05
1 0.995234 0.0021461 0.00235755 0.000262259
1 0.999551 0.000204967 0.000203932 3.98888e-05
3 0.0772276 0.0299254 0.86387 0.0289772
1 0.997785 0.00216312 5.96073e-07 5.12667e-05
1 0.999647 0.000235286 0.000108702 9.02816e-06
2 1.2857e-06 0.999161 0.000776625 6.15522e-05
1 0.773678 0.0212387 0.0400414 0.165042
2 0.38086 0.565319 0.00273389 0.0510876
2 0.00546473 0.992366 0.000248169 0.00192127
2 0.0182973 0.854059 0.00526012 0.122384
1 0.997868 0.0011913 0.000788586 0.000152264
2 0.0185174 0.973843 0.000772512 0.00686759
2 3.9035e-05 0.984381 0.00229858 0.0132813
1 0.811964 0.123006 0.045393 0.0196377
1 0.999521 0.00037264 0.00010088 5.85492e-06
2 9.37069e-09 0.999983 1.27866e-05 4.38127e-06
3 1.17847e-09 7.3377e-10 0.99999 9.58237e-06
1 0.943221 0.0532176 0.00350325 5.8388e-05
2 0.00508642 0.9943 4.94904e-05 0.000564488
2 0.00612896 0.970798 0.00155994 0.0215136
1 0.60553 0.0501551 0.224754 0.119561
2 0.359851 0.629279 0.00786799 0.00300164
1 0.963965 0.000786496 0.0345906 0.000657762
1 0.522318 0.0477549 0.425227 0.00470015
1 0.494872 0.484503 0.00943684 0.0111884
1 0.947981 0.00657228 0.000733222 0.0447137
2 8.32057e-06 0.996156 0.00336216 0.000473421
2 0.159841 0.596664 0.231684 0.0118118
2 0.006666 0.983825 0.00856578 0.00094333
2 2.59218e-07 0.999496 4.63053e-05 0.000457194
3 6.57509e-08 3.90051e-08 0.999914 8.56106e-05
2 4.80184e-11 1 4.173e-08 2.83661e-07
2 0.155928 0.492629 0.310975 0.0404685
1 0.767274 0.116936 0.000900015 0.11489
2 0.00632373 0.944461 0.0490003 0.000215446
2 9.78579e-08 0.999682 0.000284761 3.30136e-05
1 0.630901 0.00499321 0.362957 0.00114904
3 0.0270966 0.0145749 0.949036 0.00929285
2 0.021059 0.97873 1.16945e-05 0.000199342
1 0.561122 0.00995213 0.323358 0.105568
3 0.0253267 0.193303 0.75999 0.0213802
1 0.928822 0.00730067 0.0143426 0.0495343
1 0.835411 0.164061 0.000527329 7.44513e-07
4 0.196114 0.0292398 0.00728704 0.767359
2 0.0438955 0.94355 0.000444913 0.0121099
3 1.60478e-07 1.597e-07 0.999855 0.000144279
1 0.99985 9.85832e-05 3.01425e-05 2.16601e-05
2 0.00629831 0.993439 0.000257951 5.1139e-06
2 2.44579e-06 0.998751 3.42946e-05 0.00121192
2 0.0509984 0.946515 0.00237068 0.000115434
2 4.05788e-09 0.999987 3.54538e-06 9.86607e-06
3 0.0338001 0.0889062 0.73074 0.146554
2 0.0644082 0.927405 0.000348673 0.00783805
1 0.491782 0.0650864 0.423677 0.0194546
1 0.99947 0.000520407 9.11293e-06 1.29404e-07
2 4.29529e-07 0.999985 7.52456e-07 1.35725e-05
4 6.83658e-11 5.14731e-11 3.37735e-11 1
1 0.988937 0.00422988 0.00683299 3.68486e-07
2 0.00214787 0.98254 0.0151609 0.000151516
3 0.0162298 0.00171761 0.981381 0.000671741
2 1.54761e-07 0.999498 0.000381175 0.00012043
2 6.37684e-07 0.999939 5.77197e-05 2.5068e-06
2 8.10803e-07 0.999932 4.01838e-06 6.34184e-05
2 7.43047e-08 0.999967 2.01558e-05 1.26425e-05
2 1.38866e-08 0.999953 1.77833e-05 2.8947e-05
1 0.999987 1.90615e-07 1.18291e-05 1.29271e-06
1 0.801009 0.00787165 0.17284 0.0182797
1 0.998567 0.00122833 0.000199538 4.85162e-06
1 0.724173 0.00392895 0.153283 0.118615
2 3.86549e-07 0.999659 6.36171e-05 0.000277089
2 0.00351137 0.99648 7.34606e-06 1.50948e-06
3 0.00643493 0.397356 0.468291 0.127918
1 0.899657 0.0978331 0.000161903 0.00234801
2 0.00352097 0.996305 2.14435e-05 0.000152868
2 0.0995795 0.822484 0.0720292 0.00590761
1 0.950182 0.0100959 0.00370016 0.0360215
2 0.00467782 0.994746 0.000120476 0.000455921
3 0.000491599 0.00205252 0.993683 0.00377249
2 0.420032 0.50869 0.0666549 0.00462276
4 1.54008e-10 2.11125e-10 7.05087e-11 1
2 0.0368556 0.95344 0.00967275 3.21192e-05
2 0.0131808 0.985532 0.00128529 1.52838e-06
2 0.237888 0.76032 0.00172549 6.65093e-05
1 0.996103 0.00293069 2.17686e-06 0.000964487
2 0.00552149 0.992811 0.0011416 0.000525474
2 2.23933e-09 1 2.17173e-07 6.82035e-08
1 0.999527 0.000137638 4.19022e-06 0.000331175
2 9.78963e-08 0.999766 3.68046e-07 0.000233957
2 4.60377e-07 0.999979 1.73806e-05 3.33552e-06
2 0.0858311 0.738784 0.160489 0.014896
3 3.50842e-05 0.0410825 0.95853 0.000352816
1 0.936921 0.0337348 0.00412837 0.0252161
1 0.998812 0.000704946 0.000480444 2.34035e-06
4 0.10503 0.426238 0.00220744 0.466525
2 0.0249674 0.972424 0.00179028 0.000818581
2 6.64702e-12 0.999999 5.03754e-08 6.42278e-07
2 7.02731e-11 0.999999 7.39291e-07 1.01319e-07
2 1.56195e-06 0.998339 0.00165766 2.07219e-06
2 0.0151785 0.502695 0.0440068 0.438119
1 0.999694 0.000261922 2.21334e-05 2.1622e-05
2 2.01415e-07 0.999769 8.01382e-05 0.000150526
3 0.343221 0.19945 0.373323 0.0840058
1 0.999211 0.000583594 3.41789e-05 0.000171143
4 6.21075e-10 6.75818e-10 3.07219e-10 1
2 0.0654938 0.934414 9.03549e-05 1.40042e-06
2 2.20097e-08 0.99994 5.50377e-08 6.01399e-05
2 2.16433e-06 0.999228 0.000151627 0.000618636
1 0.381289 0.319448 0.00264431 0.296619
2 0.0866152 0.826447 0.0328689 0.0540688
3 0.00134839 0.0289619 0.969638 5.17611e-05
2 0.148724 0.851146 2.64487e-05 0.000103263
1 0.998589 0.000240434 0.00108041 9.04577e-05
1 0.999634 0.000330686 3.45046e-05 5.4245e-07
