ensembl_gene_id	Gene	log2FC	padj	gene_biotype
ENSG00000198888	MT-ND1	 5.24e-02	9.79e-01	protein_coding
ENSG00000210112	MT-TM	 7.84e-02	9.75e-01	Mt_tRNA
ENSG00000198763	MT-ND2	 6.45e-02	9.74e-01	protein_coding
ENSG00000198804	MT-CO1	-2.53e-01	7.12e-01	protein_coding
ENSG00000210154	MT-TD	-2.18e-01	8.91e-01	Mt_tRNA
ENSG00000198712	MT-CO2	-2.85e-01	6.16e-01	protein_coding
ENSG00000228253	MT-ATP8	 7.08e-02	9.77e-01	protein_coding
ENSG00000198899	MT-ATP6	-1.48e-02	9.93e-01	protein_coding
ENSG00000198938	MT-CO3	-2.27e-01	7.84e-01	protein_coding
ENSG00000198840	MT-ND3	-1.79e-01	9.12e-01	protein_coding
ENSG00000212907	MT-ND4L	-2.38e-02	9.91e-01	protein_coding
ENSG00000198886	MT-ND4	 5.11e-02	9.81e-01	protein_coding
ENSG00000198786	MT-ND5	 8.46e-02	9.70e-01	protein_coding
ENSG00000198695	MT-ND6	 1.05e-01	9.62e-01	protein_coding
ENSG00000198727	MT-CYB	-1.67e-01	8.82e-01	protein_coding
ENSG00000205765	C5orf51	 2.76e-01	8.01e-01	protein_coding
ENSG00000137275	RIPK1	 5.89e-02	9.79e-01	protein_coding
ENSG00000272277	AL031963.3	-2.96e-01	6.86e-01	lncRNA
ENSG00000153404	PLEKHG4B	 2.74e-01	8.15e-01	protein_coding
ENSG00000167193	CRK	-1.51e-02	9.93e-01	protein_coding
ENSG00000185340	GAS2L1	 7.16e-02	9.41e-01	protein_coding
ENSG00000137806	NDUFAF1	 5.05e-03	9.96e-01	protein_coding
ENSG00000107295	SH3GL2	-1.32e-01	8.99e-01	protein_coding
ENSG00000267740	AC024592.3	-5.35e-01	3.57e-01	protein_coding
ENSG00000174886	NDUFA11	-8.22e-01	7.66e-04	protein_coding
ENSG00000176595	KBTBD11	-3.09e-02	9.90e-01	protein_coding
ENSG00000164366	CCDC127	 6.31e-02	9.70e-01	protein_coding
ENSG00000139684	ESD	-3.42e-01	4.28e-01	protein_coding
ENSG00000137815	RTF1	 2.02e-01	8.97e-01	protein_coding
ENSG00000161082	CELF5	-1.81e-01	9.14e-01	protein_coding
ENSG00000139505	MTMR6	-3.71e-02	9.88e-01	protein_coding
ENSG00000137177	KIF13A	 4.42e-01	4.00e-01	protein_coding
ENSG00000151876	FBXO4	-2.64e-01	7.29e-01	protein_coding
ENSG00000266441	AP005205.2	-1.09e+00	3.90e-03	lncRNA
ENSG00000256073	URB1-AS1	-1.37e-01	9.36e-01	lncRNA
ENSG00000119318	RAD23B	 8.10e-02	9.16e-01	protein_coding
ENSG00000148229	POLE3	-1.69e-01	8.57e-01	protein_coding
ENSG00000157653	C9orf43	 9.62e-02	9.66e-01	protein_coding
ENSG00000127528	KLF2	 2.15e-01	8.51e-01	protein_coding
ENSG00000166912	MTMR10	-1.54e-01	9.17e-01	protein_coding
ENSG00000073578	SDHA	-2.83e-02	9.79e-01	protein_coding
ENSG00000184979	USP18	-1.20e-01	9.43e-01	protein_coding
ENSG00000137825	ITPKA	 2.12e-01	7.52e-01	protein_coding
ENSG00000180011	ZADH2	-4.46e-01	8.47e-02	protein_coding
ENSG00000088756	ARHGAP28	 8.04e-02	9.69e-01	protein_coding
ENSG00000167196	FBXO22	-1.31e-01	9.17e-01	protein_coding
ENSG00000198690	FAN1	-7.25e-02	9.72e-01	protein_coding
ENSG00000063438	AHRR	 4.25e-01	5.92e-01	protein_coding
ENSG00000124813	RUNX2	 7.05e-02	9.79e-01	protein_coding
ENSG00000169752	NRG4	 4.03e-01	6.39e-01	protein_coding
ENSG00000248925	AC021087.1	-2.30e-01	8.74e-01	lncRNA
ENSG00000249915	PDCD6	-2.77e-01	5.25e-01	protein_coding
ENSG00000186687	LYRM7	-3.77e-01	6.69e-01	protein_coding
ENSG00000169567	HINT1	-1.04e+00	2.72e-05	protein_coding
ENSG00000065325	GLP2R	-8.35e-04	9.99e-01	protein_coding
ENSG00000166979	EVA1C	-7.99e-02	9.57e-01	protein_coding
ENSG00000196284	SUPT3H	-2.74e-01	5.38e-01	protein_coding
ENSG00000234602	MCIDAS	 1.26e-01	9.27e-01	protein_coding
ENSG00000160284	SPATC1L	-9.08e-02	9.53e-01	protein_coding
ENSG00000261150	EPPK1	 1.84e-01	9.10e-01	protein_coding
ENSG00000100299	ARSA	-1.24e-01	9.15e-01	protein_coding
ENSG00000100298	APOBEC3H	 1.71e-01	9.26e-01	protein_coding
ENSG00000164078	MST1R	 5.85e-01	1.98e-01	protein_coding
ENSG00000182208	MOB2	-9.24e-02	9.53e-01	protein_coding
ENSG00000103855	CD276	-2.38e-02	9.88e-01	protein_coding
ENSG00000113761	ZNF346	 2.46e-01	6.54e-01	protein_coding
ENSG00000100280	AP1B1	 1.01e-01	9.40e-01	protein_coding
ENSG00000186106	ANKRD46	-3.07e-01	7.52e-01	protein_coding
ENSG00000113407	TARS	 1.95e-01	8.75e-01	protein_coding
ENSG00000164077	MON1A	 1.04e-01	9.62e-01	protein_coding
ENSG00000172171	TEFM	 1.91e-01	8.99e-01	protein_coding
ENSG00000152669	CCNO	-5.34e-02	9.73e-01	protein_coding
ENSG00000160256	FAM207A	-1.16e-01	9.51e-01	protein_coding
ENSG00000197417	SHPK	 1.21e-01	9.38e-01	protein_coding
ENSG00000100307	CBX7	 1.94e-01	8.01e-01	protein_coding
ENSG00000157500	APPL1	 7.69e-02	9.67e-01	protein_coding
ENSG00000133027	PEMT	-3.26e-01	5.52e-01	protein_coding
ENSG00000167202	TBC1D2B	 1.27e-01	9.14e-01	protein_coding
ENSG00000179981	TSHZ1	 6.78e-03	9.97e-01	protein_coding
ENSG00000031823	RANBP3	 2.05e-01	6.64e-01	protein_coding
ENSG00000280798	LINC00294	-9.38e-02	9.69e-01	lncRNA
ENSG00000176102	CSTF3	 1.34e-01	9.03e-01	protein_coding
ENSG00000133706	LARS	 2.50e-01	8.53e-01	protein_coding
ENSG00000073417	PDE8A	 2.55e-01	6.80e-01	protein_coding
ENSG00000067248	DHX29	-8.53e-02	9.71e-01	protein_coding
ENSG00000198258	UBL5	-1.40e+00	1.26e-11	protein_coding
ENSG00000176148	TCP11L1	 1.61e-01	8.76e-01	protein_coding
ENSG00000277287	AL109976.1	 1.29e-01	9.53e-01	lncRNA
ENSG00000105650	PDE4C	 2.56e-01	8.45e-01	protein_coding
ENSG00000156273	BACH1	-7.19e-02	9.77e-01	protein_coding
ENSG00000133816	MICAL2	 3.14e-01	7.16e-01	protein_coding
ENSG00000114854	TNNC1	-4.55e-01	2.48e-01	protein_coding
ENSG00000150510	FAM124A	 5.53e-02	9.69e-01	protein_coding
ENSG00000114270	COL7A1	-2.73e-03	9.98e-01	protein_coding
ENSG00000244754	N4BP2L2	-3.93e-01	4.94e-01	protein_coding
ENSG00000204564	C6orf136	-2.56e-01	4.25e-01	protein_coding
ENSG00000111981	ULBP1	 2.72e-01	8.39e-01	protein_coding
ENSG00000154767	XPC	 1.13e-01	9.16e-01	protein_coding
ENSG00000172936	MYD88	 1.20e-01	9.20e-01	protein_coding
ENSG00000104231	ZFAND1	-2.15e-01	8.01e-01	protein_coding
ENSG00000270141	TERC	 1.09e+00	5.10e-04	lncRNA
ENSG00000187650	VMAC	-6.06e-02	9.74e-01	protein_coding
ENSG00000166387	PPFIBP2	 3.04e-01	7.43e-01	protein_coding
ENSG00000198792	TMEM184B	 1.83e-01	7.28e-01	protein_coding
ENSG00000142623	PADI1	 2.68e-01	7.59e-01	protein_coding
ENSG00000184378	ACTRT3	-1.36e-01	9.23e-01	protein_coding
ENSG00000014138	POLA2	 1.60e-01	8.55e-01	protein_coding
ENSG00000167113	COQ4	-3.72e-01	1.42e-01	protein_coding
ENSG00000105519	CAPS	 3.58e-01	6.13e-01	protein_coding
ENSG00000173960	UBXN2A	 8.63e-02	9.64e-01	protein_coding
ENSG00000170860	LSM3	-7.82e-01	1.60e-02	protein_coding
ENSG00000168303	MPLKIP	-2.51e-01	8.38e-01	protein_coding
ENSG00000149798	CDC42EP2	-4.47e-02	9.79e-01	protein_coding
ENSG00000146085	MMUT	 3.54e-02	9.90e-01	protein_coding
ENSG00000184908	CLCNKB	-2.28e-02	9.89e-01	protein_coding
ENSG00000167711	SERPINF2	-1.87e-01	8.91e-01	protein_coding
ENSG00000196689	TRPV1	 2.72e-01	8.10e-01	protein_coding
ENSG00000138613	APH1B	 3.98e-02	9.79e-01	protein_coding
ENSG00000173210	ABLIM3	-2.37e-01	8.66e-01	protein_coding
ENSG00000137274	BPHL	-6.57e-02	9.45e-01	protein_coding
ENSG00000186889	TMEM17	 7.20e-02	9.77e-01	protein_coding
ENSG00000170876	TMEM43	 2.22e-01	3.53e-01	protein_coding
ENSG00000131473	ACLY	 1.41e-01	8.97e-01	protein_coding
ENSG00000141959	PFKL	 1.78e-01	8.64e-01	protein_coding
ENSG00000130700	GATA5	 2.34e-02	9.92e-01	protein_coding
ENSG00000204560	DHX16	 2.52e-01	6.20e-01	protein_coding
ENSG00000126778	SIX1	 9.08e-02	9.60e-01	protein_coding
ENSG00000101444	AHCY	-1.57e-01	8.88e-01	protein_coding
ENSG00000104442	ARMC1	-6.24e-02	9.71e-01	protein_coding
ENSG00000204316	MRPL38	-1.38e-01	8.93e-01	protein_coding
ENSG00000157510	AFAP1L1	 9.98e-02	9.59e-01	protein_coding
ENSG00000160285	LSS	 1.26e-01	9.45e-01	protein_coding
ENSG00000102606	ARHGEF7	 4.08e-01	2.83e-01	protein_coding
ENSG00000140983	RHOT2	 5.32e-01	4.37e-02	protein_coding
ENSG00000180611	MB21D2	-4.18e-01	2.67e-01	protein_coding
ENSG00000169609	C15orf40	-6.91e-01	4.66e-02	protein_coding
ENSG00000184545	DUSP8	 2.20e-01	7.79e-01	protein_coding
ENSG00000134490	TMEM241	 8.74e-02	9.50e-01	protein_coding
ENSG00000112576	CCND3	-1.44e-01	8.84e-01	protein_coding
ENSG00000169750	RAC3	-8.17e-02	9.69e-01	protein_coding
ENSG00000104998	IL27RA	-7.41e-03	9.93e-01	protein_coding
ENSG00000079785	DDX1	 4.93e-02	9.84e-01	protein_coding
ENSG00000112902	SEMA5A	 3.79e-01	3.91e-01	protein_coding
ENSG00000279602	AC109326.1	 7.79e-01	3.17e-03	TEC
ENSG00000119684	MLH3	 6.66e-02	9.77e-01	protein_coding
ENSG00000109861	CTSC	-1.42e-01	7.56e-01	protein_coding
ENSG00000125898	FAM110A	-1.03e-01	9.24e-01	protein_coding
ENSG00000035928	RFC1	 1.80e-01	9.22e-01	protein_coding
ENSG00000011275	RNF216	 1.78e-01	5.93e-01	protein_coding
ENSG00000100625	SIX4	 2.04e-01	8.08e-01	protein_coding
ENSG00000103942	HOMER2	-4.26e-03	9.97e-01	protein_coding
ENSG00000188825	LINC00910	-2.22e-02	9.89e-01	lncRNA
ENSG00000077458	FAM76B	 8.06e-01	6.26e-02	protein_coding
ENSG00000132429	POPDC3	-4.10e-01	5.52e-01	protein_coding
ENSG00000130312	MRPL34	-4.64e-01	1.23e-01	protein_coding
ENSG00000068028	RASSF1	-1.02e-01	9.37e-01	protein_coding
ENSG00000158122	PRXL2C	-1.76e-01	8.10e-01	protein_coding
ENSG00000180628	PCGF5	-2.57e-02	9.88e-01	protein_coding
ENSG00000088854	C20orf194	-1.08e-02	9.93e-01	protein_coding
ENSG00000153879	CEBPG	-1.46e-01	9.24e-01	protein_coding
ENSG00000102786	INTS6	 1.14e+00	2.78e-03	protein_coding
ENSG00000141854	MISP3	-6.73e-02	9.71e-01	protein_coding
ENSG00000034693	PEX3	 1.28e-01	9.37e-01	protein_coding
ENSG00000127220	ABHD8	 1.93e-02	9.88e-01	protein_coding
ENSG00000198668	CALM1	-2.36e-01	5.23e-01	protein_coding
ENSG00000138801	PAPSS1	-1.74e-01	8.32e-01	protein_coding
ENSG00000145982	FARS2	-1.01e-01	9.56e-01	protein_coding
ENSG00000112276	BVES	-3.99e-01	5.17e-01	protein_coding
ENSG00000130311	DDA1	-2.44e-01	7.03e-01	protein_coding
ENSG00000001036	FUCA2	-8.00e-02	9.63e-01	protein_coding
ENSG00000188002	AC026412.1	 1.79e-01	8.99e-01	transcribed_unprocessed_pseudogene
ENSG00000188878	FBF1	 4.53e-01	6.33e-02	protein_coding
ENSG00000107890	ANKRD26	 1.07e+00	9.54e-03	protein_coding
ENSG00000281358	RASSF1-AS1	-4.69e-01	4.05e-01	lncRNA
ENSG00000184009	ACTG1	-5.62e-02	9.54e-01	protein_coding
ENSG00000164048	ZNF589	 3.13e-01	3.85e-01	protein_coding
ENSG00000074855	ANO8	 3.26e-01	5.68e-01	protein_coding
ENSG00000145016	RUBCN	 9.06e-02	9.27e-01	protein_coding
ENSG00000120533	ENY2	-4.97e-01	3.43e-01	protein_coding
ENSG00000085274	MYNN	-2.63e-01	8.11e-01	protein_coding
ENSG00000278053	DDX52	 1.57e-01	9.30e-01	protein_coding
ENSG00000184060	ADAP2	 9.87e-02	9.59e-01	protein_coding
ENSG00000168291	PDHB	-1.72e-01	8.53e-01	protein_coding
ENSG00000064726	BTBD1	-1.40e-01	8.87e-01	protein_coding
ENSG00000166037	CEP57	 3.81e-01	5.81e-01	protein_coding
ENSG00000158985	CDC42SE2	-8.33e-02	9.66e-01	protein_coding
ENSG00000283050	GTF2IP12	 2.51e-01	8.53e-01	transcribed_unprocessed_pseudogene
ENSG00000229848	AC139149.1	 1.03e+00	6.96e-03	lncRNA
ENSG00000136813	ECPAS	 1.80e-01	9.11e-01	protein_coding
ENSG00000165338	HECTD2	-4.04e-01	5.23e-01	protein_coding
ENSG00000141934	PLPP2	-2.93e-01	1.14e-01	protein_coding
ENSG00000169612	RAMAC	-3.48e-01	3.96e-01	protein_coding
ENSG00000185722	ANKFY1	 1.61e-01	6.92e-01	protein_coding
ENSG00000164695	CHMP4C	-2.27e-01	8.18e-01	protein_coding
ENSG00000181856	SLC2A4	 9.07e-02	9.63e-01	protein_coding
ENSG00000213889	PPM1N	-1.49e-01	9.05e-01	protein_coding
ENSG00000170899	GSTA4	-2.88e-01	7.14e-01	protein_coding
ENSG00000138688	KIAA1109	 5.23e-01	4.59e-01	protein_coding
ENSG00000171451	DSEL	 3.72e-02	9.88e-01	protein_coding
ENSG00000133101	CCNA1	 5.74e-02	9.79e-01	protein_coding
ENSG00000122068	FYTTD1	 1.42e-02	9.93e-01	protein_coding
ENSG00000172113	NME6	-4.96e-02	9.78e-01	protein_coding
ENSG00000065268	WDR18	-1.46e-01	9.33e-01	protein_coding
ENSG00000121775	TMEM39B	-7.80e-02	9.61e-01	protein_coding
ENSG00000205746	AC126755.1	 2.94e-01	5.67e-01	transcribed_unprocessed_pseudogene
ENSG00000006047	YBX2	-1.56e-01	8.56e-01	protein_coding
ENSG00000130772	MED18	-3.44e-01	2.49e-01	protein_coding
ENSG00000167740	CYB5D2	-1.62e-01	7.75e-01	protein_coding
ENSG00000272872	AP000525.1	-2.59e-01	7.92e-01	lncRNA
ENSG00000159079	CFAP298	 1.09e-01	9.28e-01	protein_coding
ENSG00000206195	DUXAP8	 1.37e-01	8.69e-01	lncRNA
ENSG00000138621	PPCDC	-3.91e-01	4.77e-01	protein_coding
ENSG00000197587	DMBX1	 2.42e-01	8.08e-01	protein_coding
ENSG00000078674	PCM1	 2.20e-01	8.83e-01	protein_coding
ENSG00000087995	METTL2A	-1.17e-01	9.24e-01	protein_coding
ENSG00000126777	KTN1	-7.72e-02	9.71e-01	protein_coding
ENSG00000214595	EML6	 3.15e-01	7.30e-01	protein_coding
ENSG00000167130	DOLPP1	 2.54e-02	9.90e-01	protein_coding
ENSG00000142949	PTPRF	 2.73e-01	4.72e-01	protein_coding
ENSG00000134508	CABLES1	 3.96e-02	9.82e-01	protein_coding
ENSG00000020426	MNAT1	-3.98e-01	4.75e-01	protein_coding
ENSG00000005007	UPF1	 2.70e-01	3.76e-01	protein_coding
ENSG00000276529	AP001505.1	-3.67e-01	6.77e-01	lncRNA
ENSG00000213463	SYNJ2BP	-3.23e-01	2.86e-01	protein_coding
ENSG00000121774	KHDRBS1	-8.04e-02	9.48e-01	protein_coding
ENSG00000105497	ZNF175	-1.47e-02	9.94e-01	protein_coding
ENSG00000185519	FAM131C	-1.41e-01	8.98e-01	protein_coding
ENSG00000133983	COX16	-8.11e-01	3.71e-02	protein_coding
ENSG00000253352	TUG1	 7.77e-03	9.96e-01	protein_coding
ENSG00000140545	MFGE8	-2.29e-02	9.90e-01	protein_coding
ENSG00000166483	WEE1	 2.09e-02	9.82e-01	protein_coding
ENSG00000124523	SIRT5	-2.55e-01	6.19e-01	protein_coding
ENSG00000125744	RTN2	-1.39e-01	8.97e-01	protein_coding
ENSG00000007312	CD79B	 1.31e-01	9.46e-01	protein_coding
ENSG00000266962	AC067852.2	 1.92e-01	7.74e-01	lncRNA
ENSG00000197724	PHF2	-1.60e-02	9.91e-01	protein_coding
ENSG00000159216	RUNX1	 1.37e-01	8.99e-01	protein_coding
ENSG00000090097	PCBP4	 8.12e-03	9.94e-01	protein_coding
ENSG00000006327	TNFRSF12A	-1.75e-01	9.09e-01	protein_coding
ENSG00000126814	TRMT5	-5.49e-03	9.97e-01	protein_coding
ENSG00000206262	FOXL2NB	 1.74e-01	8.66e-01	protein_coding
ENSG00000108786	HSD17B1	 1.41e-01	9.43e-01	protein_coding
ENSG00000261071	AL441883.1	-1.65e-01	8.73e-01	lncRNA
ENSG00000277496	AL357033.4	 4.78e-02	9.79e-01	lncRNA
ENSG00000167046	AL357033.1	 5.80e-01	3.23e-01	lncRNA
ENSG00000276317	AL357033.3	-1.31e-02	9.93e-01	lncRNA
ENSG00000232803	SLCO4A1-AS1	-3.30e-01	7.40e-01	lncRNA
ENSG00000101361	NOP56	 3.73e-01	5.84e-01	protein_coding
ENSG00000163602	RYBP	 4.68e-02	9.84e-01	protein_coding
ENSG00000068120	COASY	-9.68e-02	8.71e-01	protein_coding
ENSG00000152520	PAN3	-2.25e-01	7.49e-01	protein_coding
ENSG00000136213	CHST12	-9.47e-02	9.24e-01	protein_coding
ENSG00000111845	PAK1IP1	-9.03e-02	9.69e-01	protein_coding
ENSG00000175600	SUGCT	-4.38e-01	5.26e-01	protein_coding
ENSG00000269388	AC018755.3	-1.66e-02	9.93e-01	transcribed_processed_pseudogene
ENSG00000265681	RPL17	-6.46e-01	2.12e-02	protein_coding
ENSG00000112146	FBXO9	-5.12e-02	9.70e-01	protein_coding
ENSG00000164074	ABHD18	 6.06e-01	2.07e-01	protein_coding
ENSG00000101187	SLCO4A1	 1.07e-01	8.53e-01	protein_coding
ENSG00000072954	TMEM38A	-2.22e-01	6.45e-01	protein_coding
ENSG00000184730	APOBR	 2.19e-01	8.89e-01	protein_coding
ENSG00000120708	TGFBI	-9.53e-02	9.45e-01	protein_coding
ENSG00000163026	WDCP	-8.26e-02	9.67e-01	protein_coding
ENSG00000111802	TDP2	 7.32e-02	9.70e-01	protein_coding
ENSG00000166734	CASC4	-2.25e-02	9.91e-01	protein_coding
ENSG00000112851	ERBIN	 9.41e-01	2.37e-03	protein_coding
ENSG00000132386	SERPINF1	 3.75e-01	5.81e-01	protein_coding
ENSG00000242612	DECR2	-1.67e-01	8.70e-01	protein_coding
ENSG00000169668	BCRP2	 4.42e-01	5.76e-01	transcribed_unprocessed_pseudogene
ENSG00000177576	C18orf32	-4.59e-01	3.81e-01	protein_coding
ENSG00000139974	SLC38A6	-9.06e-02	9.67e-01	protein_coding
ENSG00000108784	NAGLU	 1.44e-01	8.64e-01	protein_coding
ENSG00000105556	MIER2	-6.82e-02	9.39e-01	protein_coding
ENSG00000166938	DIS3L	 2.69e-01	7.05e-01	protein_coding
ENSG00000128881	TTBK2	 1.49e-01	8.84e-01	protein_coding
ENSG00000068971	PPP2R5B	 1.43e-02	9.92e-01	protein_coding
ENSG00000104388	RAB2A	-1.82e-01	8.50e-01	protein_coding
ENSG00000108443	RPS6KB1	 2.49e-01	8.45e-01	protein_coding
ENSG00000135334	AKIRIN2	-2.35e-01	5.37e-01	protein_coding
ENSG00000070526	ST6GALNAC1	-2.44e-01	8.53e-01	protein_coding
ENSG00000174353	STAG3L3	 8.94e-01	2.97e-04	transcribed_unprocessed_pseudogene
ENSG00000139496	NUP58	 2.42e-01	7.30e-01	protein_coding
ENSG00000156482	RPL30	-1.22e+00	5.19e-08	protein_coding
ENSG00000136826	KLF4	 2.31e-01	6.64e-01	protein_coding
ENSG00000147459	DOCK5	 4.39e-01	3.46e-01	protein_coding
ENSG00000229018	PMS2P7	 6.56e-01	1.32e-01	unprocessed_pseudogene
ENSG00000099991	CABIN1	 2.59e-01	4.29e-01	protein_coding
ENSG00000254996	ANKHD1-EIF4EBP3	 1.72e-01	9.18e-01	protein_coding
ENSG00000114786	ABHD14A-ACY1	 7.72e-01	9.33e-02	protein_coding
ENSG00000163513	TGFBR2	-4.04e-02	9.71e-01	protein_coding
ENSG00000107882	SUFU	-4.40e-02	9.69e-01	protein_coding
ENSG00000112144	ICK	 4.05e-03	9.97e-01	protein_coding
ENSG00000261706	LINC00165	-2.73e-02	9.91e-01	lncRNA
ENSG00000142619	PADI3	-5.41e-02	9.67e-01	protein_coding
ENSG00000183963	SMTN	 3.06e-01	3.75e-01	protein_coding
ENSG00000251322	SHANK3	 1.41e-01	9.40e-01	protein_coding
ENSG00000181404	WASHC1	 7.03e-02	9.70e-01	protein_coding
ENSG00000112679	DUSP22	-2.58e-01	6.36e-01	protein_coding
ENSG00000189050	RNFT1	 1.12e-01	9.43e-01	protein_coding
ENSG00000137267	TUBB2A	 4.13e-02	9.88e-01	protein_coding
ENSG00000275874	PICSAR	-4.32e-01	3.17e-01	lncRNA
ENSG00000133302	SLF1	-4.53e-01	1.75e-01	protein_coding
ENSG00000103202	NME4	-3.59e-01	1.09e-01	protein_coding
ENSG00000214944	ARHGEF28	-5.95e-03	9.97e-01	protein_coding
ENSG00000111843	TMEM14C	-6.08e-01	1.67e-01	protein_coding
ENSG00000248487	ABHD14A	-2.44e-01	6.30e-01	protein_coding
ENSG00000235944	ZNF815P	 8.20e-02	9.70e-01	transcribed_unprocessed_pseudogene
ENSG00000175471	MCTP1	 2.24e-01	8.83e-01	protein_coding
ENSG00000013306	SLC25A39	-9.41e-02	9.57e-01	protein_coding
ENSG00000235374	SSR4P1	-9.57e-02	9.59e-01	transcribed_processed_pseudogene
ENSG00000106003	LFNG	 3.69e-02	9.83e-01	protein_coding
ENSG00000124177	CHD6	-1.81e-01	8.69e-01	protein_coding
ENSG00000114779	ABHD14B	-1.36e-01	7.43e-01	protein_coding
ENSG00000132561	MATN2	 5.56e-01	4.03e-01	protein_coding
ENSG00000197381	ADARB1	 3.77e-01	5.45e-01	protein_coding
