labels 1 2 3 4
1 0.621407 0.314002 0.0113134 0.0532784
2 0.129191 0.845742 0.00714008 0.0179274
1 0.575502 0.369175 0.0441965 0.0111267
1 0.667228 0.260475 0.0435433 0.0287536
2 0.0158635 0.901923 0.0775458 0.00466764
2 0.0863139 0.745454 0.0531206 0.115112
1 0.487736 0.323126 0.0638113 0.125326
2 0.248976 0.632267 0.109367 0.00939008
2 0.424282 0.544129 0.0225326 0.00905565
2 0.0176457 0.772994 0.0768102 0.13255
3 0.0443673 0.419199 0.510031 0.0264023
1 0.592562 0.0972472 0.164584 0.145606
2 0.276587 0.641144 0.0222445 0.0600245
4 0.204979 0.323131 0.00879203 0.463098
1 0.830191 0.0424681 0.0457758 0.0815653
1 0.604402 0.284757 0.0634704 0.0473708
1 0.542579 0.324554 0.0327523 0.100114
2 0.166659 0.808658 0.0100135 0.0146694
2 0.161147 0.672311 0.0637139 0.102827
1 0.683963 0.0989077 0.180737 0.0363927
2 0.0188413 0.761218 0.124089 0.0958514
4 0.319505 0.0215002 0.00502285 0.653972
2 0.394079 0.57984 0.0145259 0.0115555
1 0.708796 0.24506 0.0322419 0.0139024
4 0.0999592 0.031326 0.014242 0.854473
2 0.0231613 0.962004 0.000897181 0.0139374
3 0.055277 0.101731 0.822518 0.0204731
2 0.00173311 0.990876 0.00497386 0.00241723
2 0.266908 0.716082 0.0114497 0.00556069
2 0.323582 0.657294 0.0135445 0.00557949
1 0.500529 0.459316 0.0243519 0.0158023
2 0.0946884 0.834864 0.0318004 0.0386468
1 0.840099 0.0950275 0.0456987 0.0191743
1 0.889273 0.0264631 0.00442969 0.0798342
2 0.057739 0.854697 0.077579 0.00998525
2 0.00469327 0.674104 0.312857 0.00834599
2 0.000145198 0.991687 0.00507391 0.00309419
1 0.602862 0.182334 0.0366985 0.178105
2 0.106337 0.805637 0.0159886 0.0720376
2 0.112172 0.860825 0.0209246 0.00607886
2 0.072748 0.647844 0.239515 0.0398933
2 0.00184989 0.987439 0.000448213 0.0102632
4 0.0147427 0.150803 0.113852 0.720602
1 0.507401 0.0163303 0.463813 0.0124552
2 0.0211317 0.965932 0.00474319 0.00819299
2 0.282686 0.471299 0.0257288 0.220286
2 0.0202724 0.948745 0.00725569 0.0237272
2 0.131659 0.761118 0.0157796 0.0914438
2 0.0314454 0.774667 0.0539947 0.139893
2 0.231999 0.568544 0.0415679 0.157889
3 0.00542553 0.0294556 0.650469 0.31465
2 0.00606149 0.968513 0.0234299 0.00199615
4 0.0135757 0.116611 0.0706897 0.799123
3 0.183816 0.134008 0.402271 0.279905
1 0.920697 0.0535537 0.0118968 0.0138522
4 0.0559624 0.0432205 0.0475185 0.853299
2 0.0318171 0.924854 0.0105087 0.0328199
1 0.645126 0.0319533 0.30852 0.0144001
2 0.267841 0.540188 0.116499 0.0754722
2 0.283317 0.675548 0.00722402 0.0339107
1 0.901999 0.0750177 0.0193966 0.00358643
2 0.050365 0.936078 0.00687534 0.00668205
1 0.809022 0.137456 0.0412517 0.0122702
1 0.53897 0.416267 0.0216117 0.0231505
2 0.253472 0.727264 0.00455817 0.0147058
2 0.0195379 0.848222 0.0287396 0.103501
2 0.244072 0.74572 0.00699045 0.00321729
2 0.27016 0.685132 0.0125644 0.0321431
1 0.625492 0.320153 0.0277743 0.0265814
1 0.566799 0.216146 0.0186355 0.198419
2 0.0557143 0.644484 0.16961 0.130193
1 0.672662 0.0677527 0.157719 0.101866
2 0.105813 0.687266 0.038464 0.168457
4 0.0940121 0.27856 0.0485325 0.578895
1 0.568531 0.30725 0.0438281 0.0803906
1 0.589449 0.378814 0.0127349 0.0190023
2 0.328556 0.570488 0.0761576 0.0247983
2 0.0842179 0.908482 0.00372801 0.00357241
2 0.422698 0.467785 0.0513987 0.0581187
4 0.00337774 0.00198185 0.00658938 0.988051
1 0.610984 0.344288 0.0103799 0.0343477
4 0.0475696 0.0412592 0.0609102 0.850261
2 0.0195805 0.503459 0.00470247 0.472258
1 0.642024 0.318462 0.0232104 0.0163029
2 0.164278 0.588956 0.172041 0.074725
1 0.961362 0.0332019 0.00376599 0.00166993
1 0.548628 0.151392 0.168386 0.131594
1 0.851605 0.10443 0.034787 0.00917897
2 0.364442 0.592806 0.00531357 0.0374382
1 0.4662 0.374625 0.120908 0.0382678
2 0.0628076 0.882972 0.0407302 0.0134907
4 0.0450025 0.185111 0.269858 0.500028
1 0.549372 0.16466 0.0317268 0.254241
2 0.0819746 0.895505 0.0126271 0.00989368
2 0.248343 0.669719 0.0562359 0.0257018
1 0.701288 0.232639 0.0467465 0.0193269
1 0.935476 0.0135242 0.0394183 0.0115816
2 0.00724289 0.980953 0.00907436 0.00272967
2 0.0256766 0.570066 0.391932 0.0123254
1 0.794074 0.180233 0.022452 0.00324104
2 0.0824792 0.700809 0.130984 0.0857284
1 0.724505 0.0605365 0.0242668 0.190692
2 0.274977 0.696843 0.0097806 0.0183993
2 0.0262514 0.741955 0.200304 0.0314901
2 0.0709668 0.919671 0.00180729 0.00755501
2 0.0971104 0.877953 0.0154922 0.0094443
4 0.337226 0.0926639 0.119695 0.450415
1 0.597232 0.277761 0.014544 0.110463
2 0.0239973 0.821249 0.147392 0.00736166
2 0.454531 0.456001 0.0545273 0.0349405
3 0.000162938 0.0164081 0.982735 0.000694271
2 0.0781144 0.792844 0.00674967 0.122292
2 0.0269304 0.961059 0.00223535 0.00977507
4 0.0569103 0.176074 0.115989 0.651027
4 0.0624182 0.151214 0.0579406 0.728428
3 0.0164104 0.484898 0.489982 0.00870921
1 0.701094 0.230801 0.0374253 0.0306796
2 0.0572386 0.88562 0.0215204 0.0356205
2 0.0263388 0.895435 0.0358321 0.0423946
2 0.0633996 0.900722 0.0139182 0.0219599
1 0.522917 0.462064 0.00289142 0.012128
2 0.0263031 0.954392 0.00383808 0.0154673
2 0.185628 0.544934 0.251995 0.0174429
2 0.0890736 0.742219 0.108486 0.0602217
2 0.102715 0.877825 0.00412037 0.0153396
2 0.00109019 0.655107 0.342099 0.00170391
2 0.0159221 0.980279 0.002905 0.000893567
2 0.461407 0.491477 0.027022 0.0200944
2 0.00382986 0.995224 0.00011377 0.000832646
2 0.177066 0.762588 0.0380382 0.0223072
2 0.0152062 0.913392 0.0100854 0.0613162
2 0.168492 0.790155 0.0286376 0.0127156
1 0.762264 0.181807 0.0489444 0.00698458
1 0.904707 0.0622525 0.00148207 0.031558
2 0.36112 0.608595 0.0155906 0.0146941
1 0.645532 0.190194 0.103017 0.0612569
4 4.434e-005 1.61986e-005 0.00123121 0.998708
2 0.0491721 0.810806 0.0485403 0.0914816
1 0.87896 0.0274034 0.0683068 0.0253297
2 0.0306475 0.833816 0.017637 0.117899
2 0.0874854 0.898202 0.00514623 0.0091662
2 0.0311121 0.907431 0.00439755 0.0570593
2 0.0823148 0.744342 0.152383 0.0209603
1 0.732072 0.248649 0.0063742 0.0129046
2 0.112549 0.466719 0.366135 0.0545975
3 0.398746 0.113932 0.399278 0.0880433
2 0.041189 0.747122 0.0799222 0.131767
1 0.872676 0.0761044 0.0347932 0.0164268
2 0.0607025 0.564796 0.233195 0.141306
1 0.449441 0.225208 0.157391 0.16796
1 0.683102 0.0844158 0.0876337 0.144849
2 0.0183374 0.956801 0.000885831 0.0239756
2 0.0681252 0.917455 0.00875016 0.0056696
3 0.0708324 0.243673 0.672139 0.0133553
2 0.310926 0.349976 0.308322 0.0307761
2 0.378234 0.420688 0.139111 0.0619675
1 0.639187 0.0796866 0.0149603 0.266166
2 0.120804 0.547056 0.317386 0.0147534
2 0.0203364 0.880083 0.074877 0.0247036
2 0.117052 0.438917 0.0716081 0.372422
2 0.126607 0.793285 0.0695491 0.0105591
2 0.00508815 0.992285 0.000700549 0.001926
2 0.0387065 0.95826 0.0014027 0.00163107
2 0.168086 0.751555 0.0100994 0.0702598
2 0.0444427 0.915998 0.00850896 0.0310506
2 0.0960038 0.696449 0.196846 0.0107011
1 0.705384 0.090926 0.0549309 0.148759
2 0.241307 0.697301 0.0515331 0.00985874
2 0.0181266 0.962179 0.0165401 0.00315403
2 0.114648 0.823433 0.0381065 0.0238125
2 0.155274 0.824745 0.0117965 0.00818472
2 0.0592519 0.876709 0.0495785 0.0144604
1 0.987998 0.00590331 0.00193542 0.00416278
1 0.890399 0.0339124 0.00829496 0.0673932
2 1.01336e-005 0.997775 0.00139518 0.000819972
2 0.162963 0.399563 0.35748 0.0799939
2 0.099625 0.802995 0.0860528 0.0113277
1 0.918883 0.0681533 0.0094759 0.00348747
2 0.0766615 0.899052 0.0208708 0.00341583
1 0.848652 0.0334554 0.0207023 0.0971899
1 0.463924 0.415867 0.0601121 0.0600968
2 0.253374 0.684487 0.044121 0.0180179
2 0.154069 0.817445 0.0116755 0.0168105
2 0.143078 0.769952 0.0819925 0.00497785
1 0.699138 0.0391707 0.185367 0.0763246
2 0.307225 0.521304 0.150965 0.0205063
2 0.281414 0.651132 0.0447482 0.0227055
2 0.391863 0.592633 0.0105919 0.00491192
1 0.525292 0.39964 0.01409 0.0609787
2 0.044278 0.946981 0.00712388 0.00161699
2 0.0234983 0.953235 0.00802646 0.0152406
2 0.190689 0.769473 0.0176147 0.0222238
2 0.194946 0.405375 0.155194 0.244485
2 0.286671 0.675933 0.0262738 0.0111219
2 0.190222 0.697915 0.0987744 0.0130884
1 0.964844 0.00479075 0.00756522 0.0227997
2 0.0967022 0.87783 0.0177818 0.00768578
1 0.852862 0.0910475 0.0473749 0.00871609
3 0.0288306 0.0175944 0.898362 0.0552132
2 0.0418193 0.702972 0.21657 0.0386388
2 0.0109295 0.979575 0.0068824 0.00261284
3 0.161958 0.111237 0.709432 0.0173725
1 0.617143 0.257656 0.0299499 0.0952513
3 0.299302 0.290151 0.30913 0.101417
2 0.0322901 0.46095 0.338629 0.168131
4 1.91994e-008 1.09384e-008 1.26567e-008 1
2 0.421941 0.491378 0.0541104 0.0325709
3 0.000573894 0.000724725 0.599629 0.399073
3 0.0185456 0.350781 0.624016 0.00665766
3 0.0112692 0.153626 0.820114 0.0149909
3 0.0697349 0.252854 0.55488 0.122531
4 0.0054657 0.0115785 0.0194871 0.963469
2 0.0285064 0.944775 0.0213034 0.00541511
3 0.0931255 0.219774 0.65221 0.0348899
2 0.0839135 0.666278 0.189531 0.0602775
2 0.217042 0.446366 0.30443 0.0321614
2 0.337347 0.419844 0.0926594 0.150149
2 0.0880177 0.625443 0.207817 0.0787222
2 0.0698513 0.865424 0.0509225 0.0138019
2 0.0513066 0.889196 0.0227775 0.03672
2 0.262627 0.400682 0.00948185 0.327209
3 0.00120867 0.030838 0.824633 0.143321
2 0.0028424 0.50926 0.462722 0.0251753
3 0.00909353 0.105343 0.866913 0.0186499
2 0.205475 0.551119 0.154869 0.0885369
2 0.224728 0.758087 0.0065762 0.0106087
1 0.633921 0.203496 0.0790536 0.0835285
4 0.0176583 0.0909479 0.290364 0.60103
2 0.0156578 0.924626 0.0524827 0.0072334
1 0.929599 0.0508599 0.00708254 0.0124584
2 0.0217728 0.922288 0.0191339 0.0368051
4 0.0340329 0.0846753 0.0702825 0.811009
4 0.0710653 0.132697 0.272839 0.523399
3 0.0504792 0.117579 0.729924 0.102017
2 0.00944945 0.960411 0.0036049 0.0265351
3 0.323771 0.117308 0.490102 0.0688188
3 0.000719823 0.0245204 0.942113 0.0326473
1 0.311024 0.304301 0.0805816 0.304093
3 0.288198 0.120589 0.483674 0.10754
2 0.390923 0.594198 0.00381808 0.0110609
1 0.455817 0.317032 0.0586877 0.168463
1 0.651411 0.297704 0.0124058 0.0384797
