labels 1 2 3 4
2 0.261259 0.690381 0.0184257 0.0299346
2 0.31353 0.672776 0.00334969 0.0103446
3 0.400067 0.0402661 0.413468 0.146199
3 7.10555e-08 6.32957e-08 0.999862 0.000138065
4 6.90761e-11 1.10021e-10 5.84574e-11 1
2 1.31988e-07 0.999561 5.35776e-05 0.000385176
1 0.999456 0.000294729 0.000187337 6.15024e-05
3 0.0907282 0.00423557 0.904493 0.000543617
1 0.702376 0.0338528 0.0120316 0.251739
1 0.521568 0.460525 0.000542681 0.0173647
1 0.95574 0.00159226 0.000101169 0.042567
1 0.902407 0.0334565 0.0639017 0.000234308
1 0.646913 0.170709 0.16732 0.0150592
1 0.672521 0.101113 0.013742 0.212624
1 0.742903 0.0113064 0.0434284 0.202362
4 0.399487 0.0980513 0.00399642 0.498465
4 0.0110996 0.0191103 0.0133603 0.95643
3 4.58772e-08 5.37422e-08 0.999913 8.68632e-05
1 0.999333 0.000371253 0.000188011 0.000107939
1 0.991225 0.000861944 0.00235112 0.00556184
1 0.890945 0.0211383 0.0177323 0.0701839
1 0.999866 0.000114636 8.5885e-07 1.8787e-05
2 2.54612e-07 0.999757 5.84115e-05 0.000184596
1 0.843135 0.0111157 0.0103639 0.135385
1 0.528927 0.20987 0.0627779 0.198425
3 0.00127983 0.0200737 0.978643 3.32794e-06
1 0.772245 0.00133503 0.0181503 0.208269
1 0.802923 0.0227925 0.173723 0.0005609
1 0.99949 0.000271513 0.000118994 0.000119758
1 0.999513 0.000374941 6.16851e-05 5.00973e-05
4 6.22679e-11 8.25923e-11 7.54104e-11 1
2 0.0384368 0.693169 0.241959 0.0264348
2 0.182442 0.768092 0.0274349 0.0220315
1 0.996319 4.23639e-05 3.39642e-05 0.00360434
1 0.641572 0.248889 0.0975665 0.0119724
2 0.0855215 0.707183 0.205241 0.00205503
1 0.939497 0.0406826 0.0103629 0.00945746
4 1.66704e-11 1.2918e-11 1.16059e-11 1
3 0.429097 0.00326204 0.565733 0.00190783
1 0.9244 0.0527765 0.0159166 0.00690704
3 0.0174608 0.0425731 0.908623 0.031343
2 9.0763e-08 0.999791 8.67269e-05 0.000122626
2 0.354468 0.370369 0.272866 0.00229639
1 0.962311 0.0340975 0.000229224 0.00336197
1 0.805151 0.0919246 0.0515237 0.0514008
2 0.345888 0.650054 0.000672681 0.00338503
4 3.67523e-07 1.95335e-07 3.64965e-07 0.999999
4 1.32599e-10 2.04526e-10 6.83846e-11 1
1 0.999228 0.000440733 7.62171e-05 0.00025465
2 0.431857 0.506124 0.0613244 0.00069412
1 0.998193 0.00173956 2.16286e-05 4.55797e-05
3 0.0108556 0.0171032 0.968614 0.00342698
2 5.26748e-07 0.999614 6.28967e-05 0.00032212
3 6.04225e-08 3.74687e-08 0.999915 8.51624e-05
3 0.352602 0.122238 0.516251 0.00890894
1 0.922749 0.0636901 0.00755851 0.00600219
1 0.535744 0.112816 0.125501 0.225939
1 0.999673 0.000122295 5.80576e-05 0.000146722
2 0.437958 0.467015 0.0118386 0.0831887
2 0.303483 0.39573 0.25494 0.045847
1 0.950271 0.0037838 0.0413917 0.00455355
1 0.589689 0.071093 0.338574 0.000644329
1 0.970866 0.00493745 0.0169642 0.00723258
1 0.999369 5.11143e-05 0.000201782 0.000377854
1 0.799366 0.0322284 0.0228672 0.145539
1 0.551555 0.020363 0.0100455 0.418036
1 0.923004 0.0359192 0.0150398 0.0260366
2 2.15655e-07 0.999762 2.7978e-05 0.000210136
1 0.712372 0.148831 0.12961 0.00918732
1 0.470696 0.401514 0.116148 0.011642
2 0.175168 0.638442 0.0601069 0.126283
4 0.108973 0.211535 0.297086 0.382405
1 0.998793 0.000763573 0.000396723 4.68708e-05
1 0.999996 3.82455e-06 3.96956e-08 4.93083e-07
1 0.99871 0.000826134 0.000451802 1.25602e-05
1 0.719273 0.110745 0.0122118 0.15777
2 0.0168264 0.978262 0.00093492 0.00397671
2 0.132911 0.812989 0.0484588 0.00564087
2 0.181978 0.678814 0.134647 0.00456193
4 6.64428e-11 1.03268e-10 3.99355e-11 1
2 0.0679796 0.913044 0.0183683 0.000608024
1 0.784527 0.142768 0.0226041 0.0501006
3 8.81191e-08 1.5588e-07 0.999861 0.000138977
3 0.0627905 0.119227 0.816205 0.00177681
1 0.998667 0.00104514 0.000287107 4.65166e-07
3 0.0646086 0.0906194 0.812956 0.0318155
