ensemble_transcript_id	tag	predict_label
ENST00000292614.9	0	0
ENST00000006275.8	0	0
ENST00000009589.7	0	1
ENST00000376259.7	0	0
ENST00000233143.6	0	0
ENST00000358933.10	0	0
ENST00000261623.8	0	0
ENST00000247665.11	0	0
ENST00000084795.9	0	0
ENST00000173229.7	0	0
ENST00000184266.3	0	0
ENST00000353533.10	0	1
ENST00000264258.8	0	0
ENST00000189444.11	0	0
ENST00000342704.10	0	0
ENST00000302401.8	0	1
ENST00000265229.12	0	0
ENST00000196551.8	0	1
ENST00000264712.8	0	0
ENST00000264705.9	0	0
ENST00000261749.11	0	1
ENST00000228306.8	0	0
ENST00000263368.8	0	0
ENST00000389879.9	0	0
ENST00000324787.10	0	1
ENST00000206451.11	0	1
ENST00000293422.9	0	0
ENST00000215061.9	0	0
ENST00000215565.3	0	0
ENST00000350608.7	0	0
ENST00000215793.13	0	0
ENST00000339468.8	0	0
ENST00000215909.10	0	0
ENST00000333418.4	0	0
ENST00000344318.3	0	0
ENST00000251993.11	0	0
ENST00000216225.8	0	1
ENST00000216802.10	0	0
ENST00000219596.5	0	0
ENST00000262306.11	0	1
ENST00000261660.4	0	0
ENST00000360957.10	0	0
ENST00000221576.4	0	0
ENST00000251453.8	0	0
ENST00000262971.3	0	0
ENST00000221859.9	0	1
ENST00000539908.6	0	0
ENST00000221891.8	0	0
ENST00000221975.6	0	0
ENST00000264818.10	0	0
ENST00000321030.9	0	0
ENST00000222247.10	0	0
ENST00000292147.7	0	0
ENST00000222673.6	0	0
ENST00000223129.8	0	0
ENST00000223641.5	0	0
ENST00000324333.14	0	0
ENST00000335350.10	0	0
ENST00000224784.10	0	0
ENST00000225430.9	0	0
ENST00000225831.4	0	0
ENST00000394223.2	0	0
ENST00000264694.13	0	1
ENST00000359803.7	0	0
ENST00000228140.6	0	1
ENST00000360579.11	0	0
ENST00000229238.5	0	0
ENST00000229281.6	0	0
ENST00000348925.2	0	0
ENST00000230050.4	0	0
ENST00000261799.9	0	0
ENST00000394077.8	0	0
ENST00000233609.8	0	0
ENST00000233741.8	0	1
ENST00000234301.3	0	0
