Ensembl_Gene	Common_Gene	Source	Nucleus_log2FC	Nucleolus_log2FC	Lamina_log2FC	Nuclear_Pore_log2FC	Cytosol_log2FC	ERM_log2FC	OMM_log2FC	ER_Lumen_log2FC	Nucleus_Orphan	Nucleolus_Orphan	Lamina_Orphan	Nuclear_pore_Orphan	Cytosol_Orphan	ERM_Orphan	OMM_Orphan	Nucleus_Deorphaned	Cytosol_Deorphaned
ENSG00000001084	GCLC	Atlas_Analysis	0.846217713	0.55266492	0.792826826	-0.769937448	0.01540649	0.366242675	0.053641506	-0.193562611	1	0	0	0	0	0	0	0	0
ENSG00000001167	NFYA	Atlas_Analysis	0.317604203	0.760535411	0.05603596	-0.327345831	0.366742127	0.366740419	0.161656173	-0.02202352	0	0	0	0	0	0	0	0	0
ENSG00000001461	NIPAL3	Atlas_Analysis	-0.388236784	0.348581394	0.411312938	-0.087370787	0.458413746	1.529406239	1.33578695	0.038574891	0	0	0	0	0	0	0	0	0
ENSG00000001561	ENPP4	Atlas_Analysis	0.167408603	-0.870506896	0.558327187	-0.631704421	-0.7962733	1.259570979	1.17399226	-0.284606752	0	0	0	0	0	0	0	0	0
ENSG00000001617	SEMA3F	Atlas_Analysis	0.331924384	1.144999435	0.065755877	0.275560444	0.037640617	1.028073312	1.24657214	0.493676996	0	1	0	0	0	0	0	0	0
ENSG00000002586	CD99	Atlas_Analysis	-0.894381539	-1.070904049	-0.811157109	0.098430837	-0.399164293	-0.013225855	0.887834226	0.05959424	0	0	0	0	0	0	0	0	0
ENSG00000002834	LASP1	Atlas_Analysis	-0.481626953	0.500574644	-0.781575095	0.759169841	1.346663757	0.907025706	0.71982391	-0.020595227	0	0	0	1	0	0	0	0	0
ENSG00000003056	M6PR	Atlas_Analysis	0.047576545	-1.137941405	0.152332279	-0.113955472	-0.397579323	0.847953779	1.043729848	-0.099393063	0	0	0	0	0	0	0	0	0
ENSG00000003402	CFLAR	Atlas_Analysis	0.900405547	0.877963204	1.316672054	-0.134199676	0.442018322	0.501770293	0.204581759	0.141812301	0	0	0	0	0	0	0	0	0
ENSG00000003509	NDUFAF7	Atlas_Analysis	0.66322515	1.229705474	0.842292677	0.121622375	-0.553627564	-0.722028305	-0.834018702	-0.269324829	0	0	0	0	0	0	0	0	0
ENSG00000003756	RBM5	Atlas_Analysis	1.760755983	1.172042535	1.853688158	0.357172672	-0.365167793	-0.876321052	-0.311445113	0.145249551	0	0	0	0	0	0	0	0	0
ENSG00000003989	SLC7A2	Atlas_Analysis	0.686737912	0.748067649	0.820220305	-0.683437149	0.067409511	2.206454513	1.60959935	0.044484543	0	0	0	0	0	0	0	0	0
ENSG00000004139	SARM1	Atlas_Analysis	0.724724678	0.574644643	0.726036972	0.701814032	0.535253399	0.807597199	0.241735161	0.068130148	0	0	0	0	0	0	0	0	0
ENSG00000004660	CAMKK1	Atlas_Analysis	0.940083255	0.158223431	0.560787281	0.795417828	0.543916548	-0.182034571	0.097209541	0.175991661	0	0	0	0	0	0	0	0	0
ENSG00000004700	RECQL	Atlas_Analysis	-0.355294863	0.836649765	-0.149653763	-0.924135243	-0.343332638	-0.06802566	-0.764184981	-0.395183094	0	1	0	0	0	0	0	0	0
ENSG00000004777	ARHGAP33	Atlas_Analysis	0.996317937	-0.290297552	0.544020775	1.624740306	0.049455192	-0.143270778	-0.422813843	0.67265421	0	0	0	0	0	0	0	0	0
ENSG00000004897	CDC27	Atlas_Analysis	-0.129754471	0.762420091	0.042354969	0.08424114	0.409569105	1.037314971	0.092166921	-0.277027903	0	1	0	0	0	0	0	0	0
ENSG00000005206	SPPL2B	Atlas_Analysis	2.125245216	1.23818981	1.52459368	1.225629887	-0.613135069	-0.030494464	0.553836003	0.75286678	0	0	0	0	0	0	0	0	0
