Sequence number	Annotation information	Subcellular location	Probability
1	>ENST00000292614.9_0	Endoplasmic reticulum	0.815346
2	>ENST00000006275.8_0	Ribosome	0.999998
3	>ENST00000009589.7_0	Ribosome	0.999999
4	>ENST00000376259.7_0	Cytosol/Cytoplasm	0.862175
5	>ENST00000233143.6_0	Ribosome	0.997749
6	>ENST00000358933.10_0	Cytosol/Cytoplasm	0.946361
7	>ENST00000261623.8_0	Ribosome	0.928454
8	>ENST00000247665.11_0	Ribosome	0.998442
9	>ENST00000084795.9_0	Ribosome	0.692959
10	>ENST00000173229.7_0	Cytosol/Cytoplasm	0.704945
11	>ENST00000184266.3_0	Ribosome	0.640541
12	>ENST00000353533.10_0	Cytosol/Cytoplasm	0.97345
13	>ENST00000264258.8_0	Ribosome	0.972188
14	>ENST00000189444.11_0	Cytosol/Cytoplasm	0.890945
15	>ENST00000342704.10_0	Cytosol/Cytoplasm	0.971889
16	>ENST00000302401.8_0	Nucleus/Exosome/Dendrite/Mitochondrion	0.81465

17	>ENST00000265229.12_0	Ribosome	0.999957
18	>ENST00000196551.8_0	Cytosol/Cytoplasm	0.995234
19	>ENST00000264712.8_0	Cytosol/Cytoplasm	0.999551
20	>ENST00000264705.9_0	Endoplasmic reticulum	0.86387
21	>ENST00000261749.11_0	Cytosol/Cytoplasm	0.997785
22	>ENST00000228306.8_0	Cytosol/Cytoplasm	0.999647
23	>ENST00000263368.8_0	Ribosome	0.999161
24	>ENST00000389879.9_0	Cytosol/Cytoplasm	0.773678
25	>ENST00000324787.10_0	Ribosome	0.565319
26	>ENST00000206451.11_0	Ribosome	0.992366
27	>ENST00000293422.9_0	Ribosome	0.854059
28	>ENST00000215061.9_0	Cytosol/Cytoplasm	0.997868
29	>ENST00000215565.3_0	Ribosome	0.973843
30	>ENST00000350608.7_0	Ribosome	0.984381
31	>ENST00000215793.13_0	Cytosol/Cytoplasm	0.811964
32	>ENST00000339468.8_0	Cytosol/Cytoplasm	0.999521
33	>ENST00000215909.10_0	Ribosome	0.999983
34	>ENST00000333418.4_0	Endoplasmic reticulum	0.99999
35	>ENST00000344318.3_0	Cytosol/Cytoplasm	0.943221
36	>ENST00000251993.11_0	Ribosome	0.9943
37	>ENST00000216225.8_0	Ribosome	0.970798
38	>ENST00000216802.10_0	Cytosol/Cytoplasm	0.60553
39	>ENST00000219596.5_0	Ribosome	0.629279
40	>ENST00000262306.11_0	Cytosol/Cytoplasm	0.963965
41	>ENST00000261660.4_0	Cytosol/Cytoplasm	0.522318
42	>ENST00000360957.10_0	Cytosol/Cytoplasm	0.494872
43	>ENST00000221576.4_0	Cytosol/Cytoplasm	0.947981
44	>ENST00000251453.8_0	Ribosome	0.996156
45	>ENST00000262971.3_0	Ribosome	0.596664
46	>ENST00000221859.9_0	Ribosome	0.983825
47	>ENST00000539908.6_0	Ribosome	0.999496
48	>ENST00000221891.8_0	Endoplasmic reticulum	0.999914
49	>ENST00000221975.6_0	Ribosome	1
50	>ENST00000264818.10_0	Ribosome	0.492629
51	>ENST00000321030.9_0	Cytosol/Cytoplasm	0.767274
52	>ENST00000222247.10_0	Ribosome	0.944461
53	>ENST00000292147.7_0	Ribosome	0.999682
54	>ENST00000222673.6_0	Cytosol/Cytoplasm	0.630901
55	>ENST00000223129.8_0	Endoplasmic reticulum	0.949036
56	>ENST00000223641.5_0	Ribosome	0.97873
57	>ENST00000324333.14_0	Cytosol/Cytoplasm	0.561122
58	>ENST00000335350.10_0	Endoplasmic reticulum	0.75999
59	>ENST00000224784.10_0	Cytosol/Cytoplasm	0.928822
60	>ENST00000225430.9_0	Cytosol/Cytoplasm	0.835411
61	>ENST00000225831.4_0	Nucleus/Exosome/Dendrite/Mitochondrion	0.767359

62	>ENST00000394223.2_0	Ribosome	0.94355
63	>ENST00000264694.13_0	Endoplasmic reticulum	0.999855
64	>ENST00000359803.7_0	Cytosol/Cytoplasm	0.99985
65	>ENST00000228140.6_0	Ribosome	0.993439
66	>ENST00000360579.11_0	Ribosome	0.998751
67	>ENST00000229238.5_0	Ribosome	0.946515
68	>ENST00000229281.6_0	Ribosome	0.999987
69	>ENST00000348925.2_0	Endoplasmic reticulum	0.73074
70	>ENST00000230050.4_0	Ribosome	0.927405
71	>ENST00000261799.9_0	Cytosol/Cytoplasm	0.491782
72	>ENST00000394077.8_0	Cytosol/Cytoplasm	0.99947
73	>ENST00000233609.8_0	Ribosome	0.999985
74	>ENST00000233741.8_0	Nucleus/Exosome/Dendrite/Mitochondrion	1

75	>ENST00000234301.3_0	Cytosol/Cytoplasm	0.988937
76	>ENST00000368302.3_0	Ribosome	0.98254
77	>ENST00000366988.5_0	Endoplasmic reticulum	0.981381
78	>ENST00000263864.10_0	Ribosome	0.999498
79	>ENST00000237889.9_0	Ribosome	0.999939
80	>ENST00000373768.4_0	Ribosome	0.999932
81	>ENST00000238609.4_0	Ribosome	0.999967
82	>ENST00000238688.9_0	Ribosome	0.999953
83	>ENST00000361432.3_0	Cytosol/Cytoplasm	0.999987
84	>ENST00000239316.4_0	Cytosol/Cytoplasm	0.801009
85	>ENST00000272274.8_0	Cytosol/Cytoplasm	0.998567
86	>ENST00000265447.8_0	Cytosol/Cytoplasm	0.724173
87	>ENST00000242783.10_0	Ribosome	0.999659
88	>ENST00000242784.5_0	Ribosome	0.99648
89	>ENST00000243938.9_0	Endoplasmic reticulum	0.468291
90	>ENST00000343984.5_0	Cytosol/Cytoplasm	0.899657
91	>ENST00000324913.9_0	Ribosome	0.996305
92	>ENST00000245812.8_0	Ribosome	0.822484
93	>ENST00000246554.7_0	Cytosol/Cytoplasm	0.950182
94	>ENST00000265462.9_0	Ribosome	0.994746
95	>ENST00000333119.7_0	Endoplasmic reticulum	0.993683
96	>ENST00000287996.8_0	Ribosome	0.50869
97	>ENST00000344626.9_0	Nucleus/Exosome/Dendrite/Mitochondrion	1

98	>ENST00000248451.7_0	Ribosome	0.95344
99	>ENST00000249289.5_0	Ribosome	0.985532
100	>ENST00000320785.10_0	Ribosome	0.76032
101	>ENST00000312962.11_0	Cytosol/Cytoplasm	0.996103
102	>ENST00000250495.10_0	Ribosome	0.992811
103	>ENST00000347512.8_0	Ribosome	1
104	>ENST00000372337.6_0	Cytosol/Cytoplasm	0.999527
105	>ENST00000253452.6_0	Ribosome	0.999766
106	>ENST00000252102.8_0	Ribosome	0.999979
107	>ENST00000316843.9_0	Ribosome	0.738784
108	>ENST00000352861.9_0	Endoplasmic reticulum	0.95853
109	>ENST00000338779.11_0	Cytosol/Cytoplasm	0.936921
110	>ENST00000309246.9_0	Cytosol/Cytoplasm	0.998812
111	>ENST00000389912.7_0	Nucleus/Exosome/Dendrite/Mitochondrion	0.466525

112	>ENST00000256594.7_0	Ribosome	0.972424
113	>ENST00000256644.8_0	Ribosome	0.999999
114	>ENST00000257857.8_0	Ribosome	0.999999
115	>ENST00000547076.5_0	Ribosome	0.998339
116	>ENST00000308197.9_0	Ribosome	0.502695
117	>ENST00000331817.6_0	Cytosol/Cytoplasm	0.999694
118	>ENST00000258341.5_0	Ribosome	0.999769
119	>ENST00000258888.5_0	Endoplasmic reticulum	0.373323
120	>ENST00000259234.10_0	Cytosol/Cytoplasm	0.999211
121	>ENST00000314888.10_0	Nucleus/Exosome/Dendrite/Mitochondrion	1

122	>ENST00000259667.6_0	Ribosome	0.934414
123	>ENST00000374214.3_0	Ribosome	0.99994
124	>ENST00000313010.8_0	Ribosome	0.999228
125	>ENST00000260379.11_0	Cytosol/Cytoplasm	0.381289
126	>ENST00000242505.10_0	Ribosome	0.826447
127	>ENST00000261070.6_0	Endoplasmic reticulum	0.969638
128	>ENST00000249786.8_0	Ribosome	0.851146
129	>ENST00000268058.7_0	Cytosol/Cytoplasm	0.998589
130	>ENST00000361773.7_0	Cytosol/Cytoplasm	0.999634
131	>ENST00000268489.10_0	Cytosol/Cytoplasm	0.93813
132	>ENST00000343262.9_0	Ribosome	0.990139
133	>ENST00000344877.9_0	Ribosome	0.999961
134	>ENST00000269392.8_0	Cytosol/Cytoplasm	0.912897
135	>ENST00000394231.8_0	Ribosome	0.999947
136	>ENST00000270142.10_0	Ribosome	0.862008
137	>ENST00000270625.7_0	Ribosome	0.995902
138	>ENST00000391857.9_0	Endoplasmic reticulum	0.619793
139	>ENST00000374550.8_0	Cytosol/Cytoplasm	0.999974
140	>ENST00000372209.3_0	Cytosol/Cytoplasm	0.996097
141	>ENST00000367883.3_0	Ribosome	0.952518
142	>ENST00000366991.5_0	Cytosol/Cytoplasm	0.930509
143	>ENST00000261037.7_0	Cytosol/Cytoplasm	0.994318
144	>ENST00000273860.8_0	Ribosome	0.999688
145	>ENST00000361717.4_0	Cytosol/Cytoplasm	0.584615
146	>ENST00000274065.9_0	Cytosol/Cytoplasm	0.800683
147	>ENST00000315050.11_0	Ribosome	0.999638
148	>ENST00000274764.4_0	Cytosol/Cytoplasm	0.992482
149	>ENST00000274787.3_0	Cytosol/Cytoplasm	0.998737
150	>ENST00000276062.8_0	Ribosome	0.998872
151	>ENST00000276079.13_0	Cytosol/Cytoplasm	0.704213
152	>ENST00000344746.8_0	Endoplasmic reticulum	0.804478
153	>ENST00000276689.8_0	Ribosome	0.992697
154	>ENST00000315731.4_0	Cytosol/Cytoplasm	0.998252
155	>ENST00000277465.8_0	Cytosol/Cytoplasm	0.999862
156	>ENST00000378116.9_0	Cytosol/Cytoplasm	0.629255
157	>ENST00000358252.8_0	Endoplasmic reticulum	0.999932
158	>ENST00000278572.10_0	Cytosol/Cytoplasm	0.77068
159	>ENST00000279230.10_0	Ribosome	0.999617
160	>ENST00000279259.7_0	Ribosome	0.987831
161	>ENST00000279396.11_0	Ribosome	0.99111
162	>ENST00000382533.8_0	Ribosome	0.976088
163	>ENST00000280749.5_0	Cytosol/Cytoplasm	0.988519
164	>ENST00000280886.12_0	Endoplasmic reticulum	0.671443
165	>ENST00000280987.8_0	Ribosome	0.750601
166	>ENST00000281031.5_0	Ribosome	0.598545
167	>ENST00000369085.7_0	Cytosol/Cytoplasm	0.930871
168	>ENST00000370474.4_0	Ribosome	0.513258
169	>ENST00000397801.6_0	Cytosol/Cytoplasm	0.862209
170	>ENST00000284971.7_0	Ribosome	0.964549
171	>ENST00000324170.7_0	Cytosol/Cytoplasm	0.998988
172	>ENST00000311521.8_0	Ribosome	0.99995
173	>ENST00000287022.9_0	Ribosome	0.844207
174	>ENST00000288937.6_0	Ribosome	0.999945
175	>ENST00000289316.2_0	Cytosol/Cytoplasm	0.565059
176	>ENST00000368107.1_0	Ribosome	0.999986
177	>ENST00000290341.8_0	Cytosol/Cytoplasm	0.906577
178	>ENST00000400485.6_0	Nucleus/Exosome/Dendrite/Mitochondrion	0.881497

179	>ENST00000330374.6_0	Ribosome	0.808032
180	>ENST00000356396.8_0	Cytosol/Cytoplasm	0.951378
181	>ENST00000291900.7_0	Cytosol/Cytoplasm	0.451207
182	>ENST00000347559.6_0	Ribosome	0.977941
183	>ENST00000339686.8_0	Ribosome	0.659092
184	>ENST00000293350.9_0	Ribosome	0.999812
185	>ENST00000294189.10_0	Cytosol/Cytoplasm	0.964449
186	>ENST00000412877.1_0	Ribosome	1
187	>ENST00000296277.9_0	Ribosome	0.999496
188	>ENST00000296666.12_0	Cytosol/Cytoplasm	0.823083
189	>ENST00000312037.6_0	Ribosome	0.972796
190	>ENST00000297564.6_0	Ribosome	0.999975
191	>ENST00000297613.4_0	Ribosome	0.986857
192	>ENST00000353234.5_0	Endoplasmic reticulum	0.57107
193	>ENST00000350499.6_0	Endoplasmic reticulum	0.986195
194	>ENST00000369498.8_0	Ribosome	0.815087
195	>ENST00000393115.7_0	Ribosome	0.999683
196	>ENST00000299166.9_0	Ribosome	0.999696
197	>ENST00000299213.9_0	Ribosome	0.607194
198	>ENST00000299381.5_0	Ribosome	0.844141
199	>ENST00000299427.12_0	Cytosol/Cytoplasm	0.734888
200	>ENST00000314138.11_0	Ribosome	0.899027
201	>ENST00000299964.3_0	Cytosol/Cytoplasm	0.999618
202	>ENST00000300035.9_0	Cytosol/Cytoplasm	0.675115
203	>ENST00000300823.10_0	Endoplasmic reticulum	0.372821
204	>ENST00000354171.12_0	Cytosol/Cytoplasm	0.501359
205	>ENST00000311528.9_0	Ribosome	0.84411
206	>ENST00000322354.4_0	Ribosome	0.970634
207	>ENST00000309311.7_0	Endoplasmic reticulum	0.521873
208	>ENST00000301587.9_0	Ribosome	0.996032
209	>ENST00000301678.7_0	Ribosome	0.999324
210	>ENST00000343516.7_0	Ribosome	0.548966
211	>ENST00000301788.12_0	Ribosome	0.999726
212	>ENST00000301821.11_0	Cytosol/Cytoplasm	0.999843
213	>ENST00000294066.7_0	Cytosol/Cytoplasm	0.97395
214	>ENST00000307106.3_0	Ribosome	0.998575
215	>ENST00000372967.3_0	Ribosome	0.985091
216	>ENST00000306368.8_0	Ribosome	0.999948
217	>ENST00000304177.10_0	Ribosome	0.784564
218	>ENST00000305321.4_0	Cytosol/Cytoplasm	0.999457
219	>ENST00000306704.10_0	Ribosome	0.793315
220	>ENST00000302386.10_0	Endoplasmic reticulum	0.995514
221	>ENST00000302091.9_0	Cytosol/Cytoplasm	0.997409
222	>ENST00000306024.4_0	Endoplasmic reticulum	0.718328
