ensemble_transcript_id	tag	predict_label
ENST00000229416	1	0
ENST00000262316	1	0
ENST00000356271	1	0
ENST00000312413	1	0
ENST00000295736	1	1
ENST00000074304	1	0
ENST00000265348	1	0
ENST00000317508	1	0
ENST00000262189	1	0
ENST00000375541	1	0
ENST00000265872	1	0
ENST00000172229	1	0
ENST00000191018	1	0
ENST00000375759	1	0
ENST00000162391	1	0
ENST00000328631	1	0
ENST00000261523	1	1
ENST00000261556	1	0
ENST00000264926	1	0
ENST00000367649	1	0
ENST00000189444	1	0
ENST00000261600	1	0
ENST00000283684	1	0
ENST00000373344	1	0
ENST00000325324	1	0
ENST00000264691	1	0
ENST00000372479	1	0
ENST00000205135	1	0
ENST00000207549	1	0
ENST00000368886	1	0
ENST00000358321	1	1
ENST00000396821	1	0
ENST00000248929	1	0
ENST00000262710	1	0
ENST00000250383	1	0
ENST00000216797	1	0
ENST00000266070	1	0
ENST00000353546	1	1
ENST00000373004	1	0
ENST00000218789	1	0
ENST00000262370	1	0
ENST00000262318	1	0
ENST00000354670	1	0
ENST00000251630	1	0
ENST00000265433	1	0
ENST00000221899	1	0
ENST00000240304	1	1
ENST00000263981	1	1
ENST00000278935	1	0
ENST00000290510	1	0
ENST00000261897	1	0
ENST00000228606	1	0
ENST00000320756	1	0
ENST00000313698	1	0
ENST00000229277	1	0
ENST00000355478	1	0
ENST00000354577	1	0
ENST00000344624	1	0
ENST00000265138	1	0
ENST00000231368	1	0
ENST00000232165	1	0
ENST00000254351	1	0
ENST00000370949	1	0
ENST00000372683	1	0
ENST00000389506	1	0
ENST00000262043	1	0
ENST00000394705	1	0
ENST00000238855	1	0
ENST00000335712	1	0
ENST00000419749	1	0
ENST00000327681	1	0
ENST00000309279	1	0
ENST00000537686	1	0
ENST00000316358	1	0
ENST00000397524	1	0
ENST00000261965	1	0
ENST00000342783	1	0
ENST00000247883	1	0
ENST00000375218	1	0
ENST00000262315	1	1
ENST00000466756	1	0
ENST00000262715	1	0
ENST00000252595	1	0
ENST00000252744	1	0
ENST00000254193	1	0
ENST00000407540	1	0
ENST00000254718	1	1
ENST00000368223	1	0
ENST00000255078	1	0
ENST00000255499	1	0
ENST00000257209	1	0
ENST00000328771	1	0
ENST00000257931	1	0
ENST00000366641	1	0
ENST00000373451	1	0
ENST00000376406	1	0
ENST00000456763	1	0
ENST00000260506	1	1
ENST00000260526	1	0
ENST00000370855	1	0
ENST00000266674	1	0
ENST00000381718	1	0
ENST00000267102	1	0
ENST00000298125	1	0
ENST00000268314	1	0
ENST00000315082	1	0
ENST00000355528	1	1
ENST00000306801	1	0
ENST00000341697	1	0
ENST00000318967	1	0
ENST00000272139	1	0
ENST00000389175	1	0
ENST00000273221	1	0
ENST00000273317	1	0
ENST00000273814	1	0
ENST00000333149	1	0
ENST00000275732	1	0
ENST00000373829	1	0
ENST00000276416	1	1
ENST00000380921	1	1
ENST00000277540	1	0
ENST00000278175	1	0
ENST00000318201	1	0
ENST00000340437	1	0
ENST00000372519	1	0
ENST00000280606	1	0
ENST00000372391	1	0
ENST00000282251	1	0
ENST00000318063	1	0
ENST00000287394	1	0
ENST00000205214	1	1
