chr	start	end	strand	ensembl_transcript_id	FPB_circ_rep1	FPB_circ_rep2	mean_FPB_circ
chrX	153957909	153958024	-	ENST00000310441.12	0.824685837992	1.56862065978	1.196653248886
chrX	153957910	153958024	-	ENST00000310441.12	0.824685837992	0.62744826391	0.726067050951
chrX	154380019	154380214	+	ENST00000369842.8	0.549790558661	0	0.2748952793305
chr13	52465465	52468243	+	ENST00000378037.9	0.274895279331	0.313724131955	0.294309705643
chr13	111280350	111280505	+	ENST00000317133.9	0.549790558661	0	0.2748952793305
chr12	916503	916638	-	ENST00000358495.7	0.274895279331	0.313724131955	0.294309705643
chr12	31089151	31089378	+	ENST00000542129.5	0.549790558661	0	0.2748952793305
chr12	56257383	56257827	-	ENST00000267116.8	0.274895279331	1.25489652782	0.7648959035755
chr12	56257384	56257827	-	ENST00000267116.8	1.92426695531	1.88234479173	1.90330587352
chr12	108647274	108647400	-	ENST00000546705.5	0.549790558661	0	0.2748952793305
chr12	124968673	124968866	-	ENST00000308736.7	1.09958111732	0	0.54979055866
chr12	132657467	132657867	-	ENST00000320574.9	0.549790558661	0	0.2748952793305
chr11	830713	830838	+	ENST00000528542.6	0.549790558661	0	0.2748952793305
chr11	8621343	8621644	-	ENST00000299550.10	0.824685837992	0	0.412342918996
chr11	47161190	47161438	+	ENST00000528488.5	1.92426695531	0	0.962133477655
chr11	47420436	47420630	-	ENST00000602866.5	0.549790558661	0.62744826391	0.5886194112855
chr11	47420437	47420630	-	ENST00000602866.5	0.274895279331	1.56862065978	0.9217579695555
chr11	47420439	47420630	-	ENST00000602866.5	0.274895279331	1.56862065978	0.9217579695555
chr11	65083747	65083932	-	ENST00000275517.8	0.549790558661	0.313724131955	0.431757345308
chr11	123058627	123058766	-	ENST00000453788.6	0.274895279331	0.313724131955	0.294309705643
chr10	73789824	73789930	+	ENST00000604729.5	0.549790558661	0	0.2748952793305
chr10	80504778	80507204	+	ENST00000429989.7	0.549790558661	0.62744826391	0.5886194112855
chr10	97459766	97460045	-	ENST00000495415.5	0.549790558661	0	0.2748952793305
chr17	29115462	29115663	-	ENST00000527372.6	0.274895279331	0.313724131955	0.294309705643
chr17	35103354	35103453	-	ENST00000593039.5	0.274895279331	0.313724131955	0.294309705643
chr17	75563178	75563302	+	ENST00000167462.9	0.824685837992	0.313724131955	0.5692049849735
chr16	669606	670100	+	ENST00000563776.6	0.274895279331	0.313724131955	0.294309705643
chr16	1962932	1963148	-	ENST00000343262.9	0.824685837992	0	0.412342918996
chr16	2002753	2002990	-	ENST00000562988.5	1.09958111732	0.941172395865	1.0203767565925
chr16	28835758	28835907	+	ENST00000563314.5	1.64937167598	2.50979305564	2.07958236581
chr16	89770044	89770165	-	ENST00000389301.8	2.19916223464	2.50979305564	2.35447764514
