ensemble_transcript_id	tag	predict_label
ENST00000376398	1	1
ENST00000366822	1	0
ENST00000444431	1	1
ENST00000310916	1	1
ENST00000366234	1	0
ENST00000457302	1	0
ENST00000341866	1	0
ENST00000377178	1	0
ENST00000377680	1	0
ENST00000406213	1	0
ENST00000577684	1	0
ENST00000417705	1	1
ENST00000431979	1	0
ENST00000413977	1	0
ENST00000439298	1	1
ENST00000534918	1	1
ENST00000413665	1	1
ENST00000434296	1	0
ENST00000599640	1	0
ENST00000418602	1	1
ENST00000433840	1	0
ENST00000420253	1	0
ENST00000432386	1	0
ENST00000634642	1	1
ENST00000436328	1	0
ENST00000423380	1	0
ENST00000621982	1	0
ENST00000526704	1	0
ENST00000475197	1	0
ENST00000430027	1	0
ENST00000430586	1	1
ENST00000594189	1	0
ENST00000444093	1	1
ENST00000417539	1	1
ENST00000455253	1	0
ENST00000629181	1	0
ENST00000442449	1	0
ENST00000456099	1	1
ENST00000415434	1	0
ENST00000452402	1	0
ENST00000366365	1	0
ENST00000424242	1	0
ENST00000430181	1	0
ENST00000443901	1	1
ENST00000597755	1	0
ENST00000412102	1	0
ENST00000437680	1	0
ENST00000493710	1	0
ENST00000414625	1	0
ENST00000469178	1	0
ENST00000462717	1	0
ENST00000500262	1	0
ENST00000501177	1	0
ENST00000499988	1	0
ENST00000499910	1	1
ENST00000425316	1	0
ENST00000602381	1	0
ENST00000496733	1	1
ENST00000501448	1	0
ENST00000503007	1	0
ENST00000503107	1	1
ENST00000503843	1	0
ENST00000505668	1	1
ENST00000504082	1	1
ENST00000508832	1	0
ENST00000523791	1	0
ENST00000517927	1	0
ENST00000517299	1	0
ENST00000466343	1	1
ENST00000527285	1	1
ENST00000530198	1	0
ENST00000533009	1	1
ENST00000540866	1	0
ENST00000442008	1	0
ENST00000547717	1	1
ENST00000637474	1	1
ENST00000553575	1	0
ENST00000555108	1	0
ENST00000555968	1	0
ENST00000553270	1	0
ENST00000558888	1	1
ENST00000557928	1	0
ENST00000564919	1	0
ENST00000568280	1	1
ENST00000344620	1	0
ENST00000567102	1	1
ENST00000564460	1	1
ENST00000620192	1	1
ENST00000563464	1	0
ENST00000570141	1	0
ENST00000563059	1	0
ENST00000566954	1	0
ENST00000568752	1	1
ENST00000564224	1	0
ENST00000562691	1	0
ENST00000561507	1	1
ENST00000563554	1	1
ENST00000561486	1	0
ENST00000565254	1	0
ENST00000562493	1	1
ENST00000571775	1	0
ENST00000571113	1	1
ENST00000571452	1	0
ENST00000581303	1	0
ENST00000580686	1	0
ENST00000581621	1	0
ENST00000580385	1	0
ENST00000580085	1	1
ENST00000592747	1	0
ENST00000589796	1	0
ENST00000587933	1	0
ENST00000596133	1	0
ENST00000599316	1	0
ENST00000594586	1	0
ENST00000601559	1	0
ENST00000602436	1	0
ENST00000602455	1	1
ENST00000602973	1	0
ENST00000524412	1	0
ENST00000602835	1	0
ENST00000602749	1	1
ENST00000604340	1	0
ENST00000604052	1	0
ENST00000605739	1	0
ENST00000605595	1	0
ENST00000603439	1	0
ENST00000604650	1	0
ENST00000606930	1	0
ENST00000607052	1	0
ENST00000607839	1	0
ENST00000606908	1	0
ENST00000606379	1	0
ENST00000606157	1	1
ENST00000606593	1	1
ENST00000608430	1	0
ENST00000609736	1	1
ENST00000610161	1	0
ENST00000608014	1	0
ENST00000608017	1	1
ENST00000608275	1	0
ENST00000609909	1	0
ENST00000607946	1	0
ENST00000622438	1	0
ENST00000612267	1	1
ENST00000621471	1	0
ENST00000617300	1	0
ENST00000613543	1	0
ENST00000617568	1	1
ENST00000615100	1	0
ENST00000610409	1	0
ENST00000614098	1	1
ENST00000615979	1	0
ENST00000618966	1	0
ENST00000620769	1	0
ENST00000617415	1	0
ENST00000615045	1	0
ENST00000614576	1	1
ENST00000612055	1	0
ENST00000619055	1	0
ENST00000622750	1	0
ENST00000620689	1	0
ENST00000619452	1	0
ENST00000620246	1	0
ENST00000613838	1	0
ENST00000614934	1	0
ENST00000622268	1	0
ENST00000619739	1	1
ENST00000624039	1	0
ENST00000623722	1	0
ENST00000623547	1	0
ENST00000623886	1	0
ENST00000624511	1	0
ENST00000625052	1	1
ENST00000623398	1	1
ENST00000623625	1	0
ENST00000623307	1	0
ENST00000624467	1	0
ENST00000623679	1	1
ENST00000624376	1	0
ENST00000623966	1	1
ENST00000624372	1	0
ENST00000624299	1	0
ENST00000623181	1	0
ENST00000624423	1	0
ENST00000624836	1	1
ENST00000624861	1	0
ENST00000623862	1	0
ENST00000623412	1	0
ENST00000623634	1	1
ENST00000625022	1	0
ENST00000624366	1	0
ENST00000624866	1	0
ENST00000623994	1	0
ENST00000624442	1	0
ENST00000624563	1	0
ENST00000626627	1	1
ENST00000296270	0	0
ENST00000297163	0	1
ENST00000308604	0	0
ENST00000333319	0	0
ENST00000352367	0	0
ENST00000358772	0	0
ENST00000607322	0	1
ENST00000366259	0	0
ENST00000432267	0	0
ENST00000381800	0	0
ENST00000382133	0	0
ENST00000647566	0	0
ENST00000420364	0	0
ENST00000401018	0	0
ENST00000408966	0	0
ENST00000452501	0	0
ENST00000434547	0	0
ENST00000451775	0	0
ENST00000417299	0	0
ENST00000458151	0	0
ENST00000421598	0	0
ENST00000453722	0	0
ENST00000450804	0	0
ENST00000419640	0	0
ENST00000572287	0	0
ENST00000455294	0	0
ENST00000652147	0	0
ENST00000433671	0	0
ENST00000432368	0	0
ENST00000607412	0	0
ENST00000441531	0	1
ENST00000445466	0	0
ENST00000448001	0	0
ENST00000412060	0	1
ENST00000449958	0	0
ENST00000535199	0	0
ENST00000456190	0	0
ENST00000429962	0	0
ENST00000434443	0	0
ENST00000420279	0	0
ENST00000366187	0	0
ENST00000582291	0	0
ENST00000433480	0	0
ENST00000502390	0	0
ENST00000618844	0	0
ENST00000432481	0	1
ENST00000448490	0	0
ENST00000453157	0	0
ENST00000456382	0	0
ENST00000413088	0	1
ENST00000433600	0	0
ENST00000452883	0	0
ENST00000647661	0	1
ENST00000415386	0	0
ENST00000411906	0	1
ENST00000441033	0	0
ENST00000416824	0	0
ENST00000457283	0	0
ENST00000414442	0	0
ENST00000419463	0	1
ENST00000437354	0	1
ENST00000423171	0	0
ENST00000434223	0	0
ENST00000420213	0	0
ENST00000503134	0	0
ENST00000445681	0	0
ENST00000442889	0	0
ENST00000422059	0	0
ENST00000419440	0	0
ENST00000416860	0	1
ENST00000457628	0	0
ENST00000421157	0	0
ENST00000422761	0	0
ENST00000429172	0	0
ENST00000463408	0	0
ENST00000467484	0	0
ENST00000455309	0	0
ENST00000483840	0	0
ENST00000464420	0	1
ENST00000440629	0	0
ENST00000473636	0	0
ENST00000480284	0	0
ENST00000460148	0	0
ENST00000466692	0	0
ENST00000501855	0	0
ENST00000500113	0	0
ENST00000500381	0	0
ENST00000499966	0	0
ENST00000508925	0	0
ENST00000505494	0	0
ENST00000504280	0	0
ENST00000503048	0	1
ENST00000508189	0	0
ENST00000515608	0	0
ENST00000504932	0	0
ENST00000549844	0	0
ENST00000509036	0	0
ENST00000510469	0	0
ENST00000523081	0	0
ENST00000521204	0	0
ENST00000517884	0	0
ENST00000529369	0	0
ENST00000530897	0	0
ENST00000540868	0	1
ENST00000538329	0	0
ENST00000539116	0	1
ENST00000541574	0	1
ENST00000546421	0	0
ENST00000550380	0	0
ENST00000549565	0	0
ENST00000549388	0	1
ENST00000547799	0	0
ENST00000552026	0	0
ENST00000550263	0	0
ENST00000552415	0	0
ENST00000547748	0	0
ENST00000549683	0	1
ENST00000546852	0	0
ENST00000557350	0	0
ENST00000557524	0	0
ENST00000556762	0	0
ENST00000555966	0	0
ENST00000555032	0	0
ENST00000565493	0	1
ENST00000570282	0	0
ENST00000562656	0	0
ENST00000561762	0	0
ENST00000561672	0	1
ENST00000564956	0	0
ENST00000564834	0	0
ENST00000566056	0	1
ENST00000565797	0	0
ENST00000564479	0	0
ENST00000562956	0	1
ENST00000568244	0	0
ENST00000566383	0	0
ENST00000570945	0	0
ENST00000576871	0	0
ENST00000573220	0	0
ENST00000585072	0	1
ENST00000577853	0	0
ENST00000583934	0	0
ENST00000585877	0	0
ENST00000592431	0	0
ENST00000586389	0	1
ENST00000587150	0	1
ENST00000595649	0	0
ENST00000596206	0	0
ENST00000425267	0	0
ENST00000602435	0	0
ENST00000602946	0	0
ENST00000474115	0	0
ENST00000602478	0	1
ENST00000602953	0	0
ENST00000602813	0	1
ENST00000604992	0	0
ENST00000604546	0	0
ENST00000603791	0	0
ENST00000604818	0	0
ENST00000604760	0	0
ENST00000604660	0	0
ENST00000606994	0	0
ENST00000606069	0	0
ENST00000606070	0	0
ENST00000609924	0	0
ENST00000608721	0	0
ENST00000608799	0	0
ENST00000608012	0	0
ENST00000462662	0	0
ENST00000609281	0	1
ENST00000607928	0	0
ENST00000622889	0	0
ENST00000613438	0	0
ENST00000610908	0	0
ENST00000612330	0	0
ENST00000618845	0	0
ENST00000614364	0	0
ENST00000625195	0	0
ENST00000623899	0	0
ENST00000624401	0	1
ENST00000629357	0	0
ENST00000412426	0	1
ENST00000632982	0	0
ENST00000635177	0	0
